sample_id,turn,img_idxes,image_files,question,answer
45,1,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,Image1: <ImageHere>. How would you describe the natural landscape surrounding the village in the Image1?,The village is surrounded by forest and hills. [TRUNCATED?]
45,2,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,What types of buildings or structures can be observed in the Image1?,"A farmhouse, a barn, and a house image2 You have been given two images to answer this question. [TRUNCATED?]"
45,3,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,"Considering its history as a former mining town, what symbolic significance might the village from the Image1 hold for current and future generations?",The image of the mine is a symbol of a past that is now gone. [TRUNCATED?]
45,4,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,"Image2: <ImageHere>. What natural features can be observed in the Image2, and how do they contribute to the overall scenic view?",The image is a panoramic view of a valley with mountains on the horizon. [TRUNCATED?]
45,5,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,How might the geographical setting depicted in the Image2 affect the local economy and lifestyle?,The image shows a mountainous region with a valley in between. [TRUNCATED?]
45,6,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,What emotions or feelings might one experience when viewing the landscape shown in the Image2?,"The image shows a valley with green hills and a small village nestled in between the mountains Image3 The image is a panoramic view of a mountain range and valley with a village in it This is the first image of the set It is also the last image in this set, so you will need to answer the question in order to see the rest of them There are two images in each set. [TRUNCATED?]"
45,7,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,Image3: <ImageHere>. Describe the geographical features observable in the landscape of the village as seen in the Image3.,The image is a panoramic view of a snowy village with mountains in background. [TRUNCATED?]
45,8,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,What types of winter activities might be popular in a village with scenery similar to that shown in the Image3?,"Skiing, snowboarding, cross-country skiing, and snowshoeing. [TRUNCATED?]"
45,9,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,How might the winter scenery of the village in the Image3 influence the cultural and social life of its inhabitants?,The snow is a symbol of peace and happiness. [TRUNCATED?]
45,10,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Gh1w1RhiDq9sootpU_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1Ghd01SCqAhP_rhNK-_2.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GhgQ1RPwAjSfawV05_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk1GlXU1STjBGkvwYqJh_1.jpg,Image4: <ImageHere>. What natural features can be observed in the panoramic view of the village in the Image4?,The image is a composite of three photographs taken from different angles. [TRUNCATED?]
