turn,focus_rate,focus_n,answer_ok_rate,answer_ok_n,trunc_rate,trunc_n,model,sample_id
1,,0,1.0,1,0.0,1,qwen,58
2,,0,1.0,1,0.0,1,qwen,58
3,,0,1.0,1,0.0,1,qwen,58
4,,0,1.0,1,0.0,1,qwen,58
5,,0,1.0,1,0.0,1,qwen,58
6,,0,1.0,1,0.0,1,qwen,58
7,,0,0.0,1,0.0,1,qwen,58
8,,0,0.0,1,0.0,1,qwen,58
9,,0,1.0,1,0.0,1,qwen,58
10,,0,1.0,1,0.0,1,qwen,58
11,,0,1.0,1,0.0,1,qwen,58
12,,0,1.0,1,0.0,1,qwen,58
13,,0,1.0,1,0.0,1,qwen,58
14,,0,1.0,1,0.0,1,qwen,58
15,,0,1.0,1,0.0,1,qwen,58
16,,0,1.0,1,0.0,1,qwen,58
17,,0,1.0,1,0.0,1,qwen,58
18,,0,1.0,1,0.0,1,qwen,58
19,,0,1.0,1,0.0,1,qwen,58
20,,0,1.0,1,0.0,1,qwen,58
