model,sample_id,turn,focus_rate,focus_n,answer_ok_rate,answer_ok_n,trunc_rate,trunc_n
blip2,0,1,,0,1.0,1,0.0,1
blip2,0,2,,0,1.0,1,0.0,1
blip2,0,3,,0,1.0,1,0.0,1
blip2,0,4,,0,1.0,1,0.0,1
blip2,0,5,,0,1.0,1,0.0,1
blip2,0,6,,0,1.0,1,0.0,1
blip2,0,7,,0,1.0,1,0.0,1
blip2,0,8,,0,1.0,1,0.0,1
blip2,0,9,,0,1.0,1,0.0,1
blip2,0,10,,0,1.0,1,0.0,1
blip2,0,11,,0,1.0,1,0.0,1
blip2,0,12,,0,1.0,1,0.0,1
blip2,1,1,,0,1.0,1,0.0,1
blip2,1,2,,0,1.0,1,0.0,1
blip2,1,3,,0,1.0,1,0.0,1
blip2,1,4,,0,1.0,1,0.0,1
blip2,1,5,,0,1.0,1,0.0,1
blip2,1,6,,0,1.0,1,0.0,1
blip2,1,7,,0,1.0,1,0.0,1
blip2,1,8,,0,1.0,1,0.0,1
blip2,1,9,,0,1.0,1,0.0,1
blip2,1,10,,0,1.0,1,0.0,1
blip2,1,11,,0,1.0,1,0.0,1
blip2,2,1,,0,1.0,1,0.0,1
blip2,2,2,,0,1.0,1,0.0,1
blip2,2,3,,0,1.0,1,0.0,1
blip2,2,4,,0,1.0,1,0.0,1
blip2,2,5,,0,1.0,1,0.0,1
blip2,2,6,,0,1.0,1,0.0,1
blip2,2,7,,0,1.0,1,0.0,1
blip2,2,8,,0,1.0,1,0.0,1
blip2,2,9,,0,1.0,1,0.0,1
blip2,2,10,,0,1.0,1,0.0,1
blip2,2,11,,0,1.0,1,0.0,1
blip2,2,12,,0,1.0,1,0.0,1
blip2,2,13,,0,1.0,1,0.0,1
blip2,2,14,,0,1.0,1,0.0,1
blip2,2,15,,0,1.0,1,0.0,1
blip2,2,16,,0,1.0,1,0.0,1
blip2,2,17,,0,1.0,1,0.0,1
blip2,3,1,,0,1.0,1,0.0,1
blip2,3,2,,0,1.0,1,0.0,1
blip2,3,3,,0,1.0,1,0.0,1
blip2,3,4,,0,1.0,1,0.0,1
blip2,3,5,,0,1.0,1,0.0,1
blip2,3,6,,0,1.0,1,0.0,1
blip2,3,7,,0,1.0,1,0.0,1
blip2,3,8,,0,1.0,1,0.0,1
blip2,3,9,,0,1.0,1,0.0,1
blip2,3,10,,0,1.0,1,0.0,1
blip2,3,11,,0,1.0,1,0.0,1
blip2,3,12,,0,1.0,1,0.0,1
blip2,3,13,,0,1.0,1,0.0,1
blip2,3,14,,0,1.0,1,0.0,1
blip2,3,15,,0,1.0,1,0.0,1
blip2,3,16,,0,1.0,1,0.0,1
blip2,3,17,,0,1.0,1,0.0,1
blip2,3,18,,0,1.0,1,0.0,1
blip2,3,19,,0,1.0,1,0.0,1
blip2,3,20,,0,1.0,1,0.0,1
blip2,4,1,,0,1.0,1,0.0,1
blip2,4,2,,0,1.0,1,0.0,1
blip2,4,3,,0,1.0,1,0.0,1
blip2,4,4,,0,1.0,1,0.0,1
blip2,4,5,,0,1.0,1,0.0,1
blip2,4,6,,0,1.0,1,0.0,1
blip2,4,7,,0,1.0,1,0.0,1
blip2,4,8,,0,1.0,1,0.0,1
blip2,4,9,,0,1.0,1,0.0,1
blip2,4,10,,0,1.0,1,0.0,1
blip2,4,11,,0,1.0,1,0.0,1
blip2,5,1,,0,1.0,1,0.0,1
blip2,5,2,,0,1.0,1,0.0,1
blip2,5,3,,0,1.0,1,0.0,1
blip2,5,4,,0,1.0,1,0.0,1
blip2,5,5,,0,1.0,1,0.0,1
blip2,5,6,,0,1.0,1,0.0,1
blip2,5,7,,0,1.0,1,0.0,1
blip2,5,8,,0,1.0,1,0.0,1
blip2,5,9,,0,1.0,1,0.0,1
blip2,5,10,,0,1.0,1,0.0,1
blip2,5,11,,0,1.0,1,0.0,1
blip2,5,12,,0,1.0,1,0.0,1
blip2,5,13,,0,1.0,1,0.0,1
blip2,5,14,,0,1.0,1,0.0,1
blip2,5,15,,0,1.0,1,0.0,1
blip2,5,16,,0,1.0,1,0.0,1
blip2,6,1,,0,1.0,1,0.0,1
blip2,6,2,,0,1.0,1,0.0,1
blip2,6,3,,0,1.0,1,0.0,1
blip2,6,4,,0,1.0,1,0.0,1
blip2,6,5,,0,1.0,1,0.0,1
blip2,6,6,,0,1.0,1,0.0,1
blip2,6,7,,0,1.0,1,0.0,1
blip2,6,8,,0,1.0,1,0.0,1
blip2,6,9,,0,1.0,1,0.0,1
blip2,6,10,,0,1.0,1,0.0,1
blip2,6,11,,0,1.0,1,0.0,1
blip2,6,12,,0,1.0,1,0.0,1
blip2,6,13,,0,1.0,1,0.0,1
blip2,6,14,,0,1.0,1,0.0,1
blip2,6,15,,0,1.0,1,0.0,1
blip2,7,1,,0,0.0,1,0.0,1
blip2,7,2,,0,1.0,1,0.0,1
blip2,7,3,,0,1.0,1,0.0,1
blip2,7,4,,0,1.0,1,0.0,1
blip2,7,5,,0,1.0,1,0.0,1
blip2,7,6,,0,1.0,1,0.0,1
blip2,7,7,,0,1.0,1,0.0,1
blip2,7,8,,0,1.0,1,0.0,1
blip2,7,9,,0,1.0,1,0.0,1
blip2,7,10,,0,1.0,1,0.0,1
