sample_id,turn,img_idxes,image_files,question,answer
13,1,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,Image1: <ImageHere>. What are the primary ingredients that can be used to make the dish shown in the Image1?,corn
13,2,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,Describe the texture and appearance of the food items depicted in the Image1.,"The food items are crispy, golden brown, and have a wavy texture."
13,3,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,In what various ways can the dish featured in the Image1 be served or incorporated into other meals?,"The dish can be served as a snack, used as a topping for soups or salads, or as a side dish."
13,4,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,Image2: <ImageHere>. What activity can be observed being carried out by the person in the Image2?,The person is preparing food.
13,5,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,Describe the general setting or environment that is portrayed in the Image2.,The image shows a kitchen with a variety of utensils and food items.
13,6,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,"What types of objects are noticeable in the background of the Image2, and what might their presence indicate about the scene?",The presence of various kitchen utensils and appliances in the background of Image2 suggests a well-equipped and functional kitchen setting.
13,7,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,Image3: <ImageHere>. What materials can chopsticks be made of as depicted in the Image3?,wood
13,8,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,Describe the type of utensil shown in the Image3 and its primary use.,"The utensil is chopsticks, used for picking up and eating food."
13,9,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,How do the chopsticks in the Image3 reflect East Asian cultural influences?,"The chopsticks in Image3 are used to eat food, which is a cultural practice in East Asia."
13,10,0;1;2;3,/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWp_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EXxK0zil-c78EWt_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EfxK0zil-c78EW0_1.jpg;/fs/nexus-scratch/byan1/MMDU-main/_mmdu_pics/mmdu_pics/Bk7v_EjxK0zil-c78EXV_1.jpg,Image4: <ImageHere>. Describe the visual components and colors present in the dish shown in the Image4.,"The dish in Image4 contains a creamy orange sauce, chunks of meat, and green peas."
