model	sample_id	image_id	turn	delta	ok
blip2	0	1	1	0	1
blip2	0	1	2	1	0
blip2	0	1	3	2	0
blip2	0	1	4	3	1
blip2	0	1	5	4	1
blip2	0	1	6	5	0
blip2	0	1	7	6	0
blip2	0	1	8	7	0
blip2	0	1	9	8	0
blip2	0	1	10	9	0
blip2	0	1	11	10	0
blip2	0	1	12	11	0
blip2	1	1	1	0	0
blip2	1	1	2	1	1
blip2	1	1	3	2	0
blip2	1	1	4	3	0
blip2	1	1	5	4	1
blip2	1	1	6	5	1
blip2	1	1	7	6	0
blip2	1	1	8	7	1
blip2	1	1	9	8	1
blip2	1	1	10	9	0
blip2	1	1	11	10	0
blip2	2	1	1	0	0
blip2	2	1	2	1	0
blip2	2	1	3	2	1
blip2	2	1	4	3	1
blip2	2	1	5	4	0
blip2	2	1	6	5	0
blip2	2	1	7	6	0
blip2	2	1	8	7	1
blip2	2	1	9	8	1
blip2	2	1	10	9	0
blip2	2	1	11	10	0
blip2	2	1	12	11	0
blip2	2	1	13	12	0
blip2	2	1	14	13	1
blip2	2	1	15	14	0
blip2	2	1	16	15	1
blip2	2	1	17	16	0
blip2	3	1	1	0	1
blip2	3	1	2	1	0
blip2	3	1	3	2	1
blip2	3	1	4	3	1
blip2	3	1	5	4	0
blip2	3	1	6	5	1
blip2	3	1	7	6	0
blip2	3	1	8	7	1
blip2	3	1	9	8	0
blip2	3	1	10	9	0
blip2	3	1	11	10	0
blip2	3	1	12	11	0
blip2	3	1	13	12	0
blip2	3	1	14	13	0
blip2	3	1	15	14	0
blip2	3	1	16	15	0
blip2	3	1	17	16	1
blip2	3	1	18	17	1
blip2	3	1	19	18	0
blip2	3	1	20	19	0
blip2	4	1	1	0	0
blip2	4	1	2	1	1
blip2	4	1	3	2	0
blip2	4	1	4	3	1
blip2	4	1	5	4	1
blip2	4	1	6	5	0
blip2	4	1	7	6	0
blip2	4	1	8	7	0
blip2	4	1	9	8	0
blip2	4	1	10	9	0
blip2	4	1	11	10	0
blip2	5	1	1	0	1
blip2	5	1	2	1	0
blip2	5	1	3	2	0
blip2	5	1	4	3	1
blip2	5	1	5	4	1
blip2	5	1	6	5	1
blip2	5	1	7	6	0
blip2	5	1	8	7	0
blip2	5	1	9	8	1
blip2	5	1	10	9	0
blip2	5	1	11	10	0
blip2	5	1	12	11	0
blip2	5	1	13	12	0
blip2	5	1	14	13	0
blip2	5	1	15	14	0
blip2	5	1	16	15	0
blip2	6	1	1	0	1
blip2	6	1	2	1	0
blip2	6	1	3	2	0
blip2	6	1	4	3	1
blip2	6	1	5	4	0
blip2	6	1	6	5	0
blip2	6	1	7	6	0
blip2	6	1	8	7	0
blip2	6	1	9	8	0
blip2	6	1	10	9	0
blip2	6	1	11	10	0
blip2	6	1	12	11	0
blip2	6	1	13	12	0
blip2	6	1	14	13	0
blip2	6	1	15	14	0
blip2	7	1	1	0	0
blip2	7	1	2	1	0
blip2	7	1	3	2	1
blip2	7	1	4	3	1
blip2	7	1	5	4	0
blip2	7	1	6	5	0
blip2	7	1	7	6	0
blip2	7	1	8	7	0
blip2	7	1	9	8	1
blip2	7	1	10	9	0
blip2	7	1	11	10	0
blip2	7	1	12	11	0
blip2	7	1	13	12	0
blip2	7	1	14	13	0
blip2	7	1	15	14	0
blip2	7	1	16	15	0
blip2	8	1	1	0	0
blip2	8	1	2	1	0
blip2	8	1	3	2	1
blip2	8	1	4	3	1
blip2	8	1	5	4	1
blip2	8	1	6	5	1
blip2	8	1	7	6	1
blip2	8	1	8	7	0
blip2	8	1	9	8	1
blip2	8	1	10	9	0
blip2	8	1	11	10	1
blip2	8	1	12	11	0
blip2	8	1	13	12	0
blip2	8	1	14	13	0
blip2	8	1	15	14	0
blip2	8	1	16	15	0
blip2	8	1	17	16	0
blip2	8	1	18	17	0
blip2	8	1	19	18	0
blip2	8	1	20	19	0
blip2	9	1	1	0	1
blip2	9	1	2	1	1
blip2	9	1	3	2	1
blip2	9	1	4	3	1
blip2	9	1	5	4	1
blip2	9	1	6	5	1
blip2	9	1	7	6	0
blip2	9	1	8	7	1
blip2	10	1	1	0	1
blip2	10	1	2	1	1
blip2	10	1	3	2	1
blip2	10	1	4	3	1
blip2	10	1	5	4	1
blip2	10	1	6	5	0
blip2	10	1	7	6	0
blip2	10	1	8	7	0
blip2	10	1	9	8	1
blip2	10	1	10	9	0
blip2	10	1	11	10	1
blip2	10	1	12	11	0
blip2	10	1	13	12	1
blip2	10	1	14	13	1
blip2	10	1	15	14	0
blip2	10	1	16	15	0
blip2	11	1	1	0	1
blip2	11	1	2	1	0
blip2	11	1	3	2	0
blip2	11	1	4	3	0
blip2	11	1	5	4	0
blip2	11	1	6	5	0
blip2	11	1	7	6	0
blip2	11	1	8	7	1
blip2	11	1	9	8	0
blip2	11	1	10	9	0
blip2	11	1	11	10	0
blip2	11	1	12	11	0
blip2	11	1	13	12	1
blip2	11	1	14	13	1
blip2	11	1	15	14	1
blip2	11	1	16	15	0
blip2	12	1	1	0	1
blip2	12	1	2	1	1
blip2	12	1	3	2	1
blip2	12	1	4	3	1
blip2	12	1	5	4	0
blip2	12	1	6	5	0
blip2	12	1	7	6	0
blip2	12	1	8	7	0
blip2	12	1	9	8	0
blip2	12	1	10	9	1
blip2	12	1	11	10	0
blip2	12	1	12	11	0
blip2	12	1	13	12	1
blip2	12	1	14	13	0
blip2	12	1	15	14	0
blip2	13	1	1	0	1
blip2	13	1	2	1	0
blip2	13	1	3	2	0
blip2	13	1	4	3	1
blip2	13	1	5	4	1
blip2	13	1	6	5	1
blip2	13	1	7	6	1
blip2	13	1	8	7	1
blip2	13	1	9	8	1
blip2	13	1	10	9	1
blip2	13	1	11	10	1
blip2	13	1	12	11	1
blip2	13	1	13	12	0
blip2	13	1	14	13	1
blip2	13	1	15	14	0
blip2	13	1	16	15	0
blip2	13	1	17	16	0
blip2	13	1	18	17	0
blip2	14	1	1	0	0
blip2	14	1	2	1	1
blip2	14	1	3	2	0
blip2	14	1	4	3	0
blip2	14	1	5	4	0
blip2	14	1	6	5	0
blip2	14	1	7	6	1
blip2	14	1	8	7	0
blip2	14	1	9	8	0
blip2	14	1	10	9	0
blip2	14	1	11	10	0
blip2	14	1	12	11	0
blip2	14	1	13	12	1
blip2	15	1	1	0	0
blip2	15	1	2	1	0
blip2	15	1	3	2	0
blip2	15	1	4	3	1
blip2	15	1	5	4	1
blip2	15	1	6	5	1
blip2	15	1	7	6	0
blip2	15	1	8	7	0
blip2	15	1	9	8	1
blip2	15	1	10	9	1
blip2	15	1	11	10	0
blip2	15	1	12	11	0
blip2	15	1	13	12	0
blip2	15	1	14	13	0
blip2	15	1	15	14	0
blip2	15	1	16	15	0
blip2	15	1	17	16	1
blip2	15	1	18	17	0
blip2	15	1	19	18	0
blip2	15	1	20	19	0
blip2	16	1	1	0	0
blip2	16	1	2	1	1
blip2	16	1	3	2	1
blip2	16	1	4	3	0
blip2	16	1	5	4	1
blip2	16	1	6	5	0
blip2	16	1	7	6	0
blip2	16	1	8	7	1
blip2	16	1	9	8	0
blip2	16	1	10	9	1
blip2	16	1	11	10	1
blip2	16	1	12	11	0
blip2	16	1	13	12	1
blip2	16	1	14	13	0
blip2	16	1	15	14	0
blip2	16	1	16	15	0
blip2	17	1	1	0	1
blip2	17	1	2	1	0
blip2	17	1	3	2	1
blip2	17	1	4	3	1
blip2	17	1	5	4	1
blip2	17	1	6	5	1
blip2	17	1	7	6	0
blip2	17	1	8	7	0
blip2	17	1	9	8	0
blip2	17	1	10	9	1
blip2	17	1	11	10	1
blip2	17	1	12	11	0
blip2	17	1	13	12	0
blip2	17	1	14	13	0
blip2	17	1	15	14	0
blip2	17	1	16	15	1
blip2	17	1	17	16	1
blip2	17	1	18	17	1
blip2	18	1	1	0	0
blip2	18	1	2	1	0
blip2	18	1	3	2	0
blip2	18	1	4	3	0
blip2	18	1	5	4	1
blip2	18	1	6	5	0
blip2	18	1	7	6	0
blip2	18	1	8	7	1
blip2	18	1	9	8	1
blip2	18	1	10	9	0
blip2	18	1	11	10	0
blip2	18	1	12	11	0
blip2	18	1	13	12	0
blip2	18	1	14	13	1
blip2	18	1	15	14	0
blip2	18	1	16	15	0
blip2	19	1	1	0	0
blip2	19	1	2	1	0
blip2	19	1	3	2	1
blip2	19	1	4	3	0
blip2	19	1	5	4	0
blip2	19	1	6	5	1
blip2	19	1	7	6	0
blip2	19	1	8	7	1
blip2	19	1	9	8	0
blip2	19	1	10	9	1
blip2	20	1	1	0	0
blip2	20	1	2	1	0
blip2	20	1	3	2	0
blip2	20	1	4	3	1
blip2	20	1	5	4	0
blip2	20	1	6	5	0
blip2	20	1	7	6	1
blip2	20	1	8	7	0
blip2	20	1	9	8	1
blip2	20	1	10	9	0
blip2	20	1	11	10	0
blip2	20	1	12	11	0
blip2	20	1	13	12	1
blip2	20	1	14	13	0
blip2	20	1	15	14	1
blip2	20	1	16	15	0
blip2	20	1	17	16	1
blip2	20	1	18	17	0
blip2	20	1	19	18	1
blip2	21	1	1	0	0
blip2	21	1	2	1	0
blip2	21	1	3	2	1
blip2	21	1	4	3	1
blip2	21	1	5	4	0
blip2	21	1	6	5	0
blip2	21	1	7	6	0
blip2	21	1	8	7	0
blip2	21	1	9	8	1
blip2	21	1	10	9	0
blip2	21	1	11	10	0
blip2	21	1	12	11	1
blip2	21	1	13	12	0
blip2	21	1	14	13	0
blip2	21	1	15	14	0
blip2	21	1	16	15	1
blip2	22	1	1	0	0
blip2	22	1	2	1	0
blip2	22	1	3	2	0
blip2	22	1	4	3	1
blip2	22	1	5	4	1
blip2	22	1	6	5	0
blip2	22	1	7	6	0
blip2	22	1	8	7	0
blip2	22	1	9	8	0
blip2	22	1	10	9	1
blip2	22	1	11	10	1
blip2	22	1	12	11	0
blip2	22	1	13	12	1
blip2	22	1	14	13	0
blip2	22	1	15	14	1
blip2	22	1	16	15	1
blip2	23	1	1	0	0
blip2	23	1	2	1	1
blip2	23	1	3	2	0
blip2	23	1	4	3	0
blip2	23	1	5	4	1
blip2	23	1	6	5	0
blip2	23	1	7	6	1
blip2	23	1	8	7	1
blip2	23	1	9	8	0
blip2	23	1	10	9	0
blip2	23	1	11	10	0
blip2	23	1	12	11	0
blip2	23	1	13	12	0
blip2	23	1	14	13	0
blip2	23	1	15	14	1
blip2	23	1	16	15	0
blip2	23	1	17	16	0
blip2	23	1	18	17	1
blip2	23	1	19	18	0
blip2	24	1	1	0	0
blip2	24	1	2	1	0
blip2	24	1	3	2	0
blip2	24	1	4	3	0
blip2	24	1	5	4	0
blip2	24	1	6	5	0
blip2	24	1	7	6	0
blip2	24	1	8	7	1
blip2	24	1	9	8	0
blip2	24	1	10	9	1
blip2	25	1	1	0	0
blip2	25	1	2	1	0
blip2	25	1	3	2	0
blip2	25	1	4	3	0
blip2	25	1	5	4	0
blip2	25	1	6	5	0
blip2	25	1	7	6	0
blip2	25	1	8	7	0
blip2	26	1	1	0	0
blip2	26	1	2	1	1
blip2	26	1	3	2	0
blip2	26	1	4	3	1
blip2	26	1	5	4	1
blip2	26	1	6	5	0
blip2	26	1	7	6	0
blip2	26	1	8	7	0
blip2	26	1	9	8	0
blip2	26	1	10	9	0
blip2	26	1	11	10	0
blip2	26	1	12	11	0
blip2	26	1	13	12	0
blip2	27	1	1	0	0
blip2	27	1	2	1	0
blip2	27	1	3	2	0
blip2	27	1	4	3	0
blip2	27	1	5	4	1
blip2	27	1	6	5	0
blip2	27	1	7	6	0
blip2	27	1	8	7	0
blip2	27	1	9	8	0
blip2	27	1	10	9	1
blip2	27	1	11	10	0
blip2	27	1	12	11	0
blip2	27	1	13	12	1
blip2	27	1	14	13	1
blip2	27	1	15	14	0
blip2	27	1	16	15	0
blip2	27	1	17	16	1
blip2	27	1	18	17	1
blip2	28	1	1	0	0
blip2	28	1	2	1	0
blip2	28	1	3	2	0
blip2	28	1	4	3	0
blip2	28	1	5	4	1
blip2	28	1	6	5	0
blip2	28	1	7	6	0
blip2	28	1	8	7	1
blip2	28	1	9	8	1
blip2	28	1	10	9	1
blip2	28	1	11	10	0
blip2	28	1	12	11	0
blip2	28	1	13	12	1
blip2	28	1	14	13	0
blip2	28	1	15	14	1
blip2	28	1	16	15	0
blip2	28	1	17	16	0
blip2	28	1	18	17	1
blip2	28	1	19	18	0
blip2	28	1	20	19	0
blip2	29	1	1	0	1
blip2	29	1	2	1	1
blip2	29	1	3	2	0
blip2	29	1	4	3	1
blip2	29	1	5	4	1
blip2	29	1	6	5	0
blip2	29	1	7	6	1
blip2	29	1	8	7	0
blip2	29	1	9	8	0
blip2	29	1	10	9	0
blip2	30	1	1	0	1
blip2	30	1	2	1	1
blip2	30	1	3	2	1
blip2	30	1	4	3	0
blip2	30	1	5	4	1
blip2	30	1	6	5	0
blip2	30	1	7	6	0
blip2	30	1	8	7	0
blip2	30	1	9	8	0
blip2	30	1	10	9	0
blip2	30	1	11	10	0
blip2	30	1	12	11	0
blip2	30	1	13	12	1
blip2	31	1	1	0	1
blip2	31	1	2	1	0
blip2	31	1	3	2	1
blip2	31	1	4	3	0
blip2	31	1	5	4	1
blip2	31	1	6	5	1
blip2	31	1	7	6	1
blip2	31	1	8	7	1
blip2	31	1	9	8	0
blip2	31	1	10	9	1
blip2	31	1	11	10	0
blip2	31	1	12	11	1
blip2	31	1	13	12	0
blip2	31	1	14	13	0
blip2	31	1	15	14	0
blip2	31	1	16	15	0
blip2	31	1	17	16	0
blip2	32	1	1	0	0
blip2	32	1	2	1	1
blip2	32	1	3	2	0
blip2	32	1	4	3	1
blip2	32	1	5	4	0
blip2	32	1	6	5	1
blip2	32	1	7	6	1
blip2	32	1	8	7	0
blip2	32	1	9	8	1
blip2	32	1	10	9	1
blip2	32	1	11	10	0
blip2	32	1	12	11	1
blip2	32	1	13	12	1
blip2	32	1	14	13	1
blip2	32	1	15	14	0
blip2	32	1	16	15	0
blip2	32	1	17	16	1
blip2	32	1	18	17	1
blip2	32	1	19	18	0
blip2	32	1	20	19	0
blip2	33	1	1	0	1
blip2	33	1	2	1	1
blip2	33	1	3	2	1
blip2	33	1	4	3	1
blip2	33	1	5	4	1
blip2	33	1	6	5	1
blip2	33	1	7	6	0
blip2	33	1	8	7	0
blip2	33	1	9	8	1
blip2	33	1	10	9	0
blip2	33	1	11	10	0
blip2	33	1	12	11	1
blip2	33	1	13	12	0
blip2	33	1	14	13	0
blip2	33	1	15	14	0
blip2	33	1	16	15	0
blip2	33	1	17	16	1
blip2	33	1	18	17	0
blip2	33	1	19	18	0
blip2	33	1	20	19	0
blip2	34	1	1	0	0
blip2	34	1	2	1	0
blip2	34	1	3	2	0
blip2	34	1	4	3	0
blip2	34	1	5	4	1
blip2	34	1	6	5	0
blip2	34	1	7	6	0
blip2	34	1	8	7	0
blip2	34	1	9	8	0
blip2	34	1	10	9	0
blip2	35	1	1	0	0
blip2	35	1	2	1	1
blip2	35	1	3	2	0
blip2	35	1	4	3	0
blip2	35	1	5	4	1
blip2	35	1	6	5	0
blip2	35	1	7	6	0
blip2	35	1	8	7	0
blip2	35	1	9	8	0
blip2	35	1	10	9	0
blip2	35	1	11	10	0
blip2	35	1	12	11	0
blip2	35	1	13	12	0
blip2	35	1	14	13	0
blip2	35	1	15	14	0
blip2	36	1	1	0	0
blip2	36	1	2	1	0
blip2	36	1	3	2	0
blip2	36	1	4	3	0
blip2	36	1	5	4	0
blip2	36	1	6	5	0
blip2	36	1	7	6	0
blip2	36	1	8	7	0
blip2	36	1	9	8	0
blip2	36	1	10	9	0
blip2	37	1	1	0	1
blip2	37	1	2	1	0
blip2	37	1	3	2	1
blip2	37	1	4	3	1
blip2	37	1	5	4	1
blip2	37	1	6	5	0
blip2	37	1	7	6	0
blip2	37	1	8	7	0
blip2	37	1	9	8	0
blip2	37	1	10	9	0
blip2	37	1	11	10	1
blip2	37	1	12	11	1
blip2	37	1	13	12	1
blip2	37	1	14	13	0
