model	k	ok_mean
blip2	0	0.2909090909090909
blip2	1	0.3090909090909091
blip2	2	0.2818181818181818
blip2	3	0.45454545454545453
blip2	4	0.5
blip2	5	0.3669724770642202
blip2	6	0.19444444444444445
blip2	7	0.24271844660194175
blip2	8	0.44329896907216493
blip2	9	0.4536082474226804
blip2	10	0.2261904761904762
blip2	11	0.25316455696202533
blip2	12	0.32
blip2	13	0.38028169014084506
blip2	14	0.13043478260869565
blip2	15	0.08620689655172414
blip2	16	0.3684210526315789
blip2	17	0.47058823529411764
blip2	18	0.06896551724137931
blip2	19	0.09523809523809523
llava	0	0.6545454545454545
llava	1	0.6
llava	2	0.6545454545454545
llava	3	0.7363636363636363
llava	4	0.7636363636363637
llava	5	0.7889908256880734
llava	6	0.49074074074074076
llava	7	0.5825242718446602
llava	8	0.7010309278350515
llava	9	0.5979381443298969
llava	10	0.5119047619047619
llava	11	0.5316455696202531
llava	12	0.4666666666666667
llava	13	0.5492957746478874
llava	14	0.3188405797101449
llava	15	0.3793103448275862
llava	16	0.5789473684210527
llava	17	0.7352941176470589
llava	18	0.3793103448275862
llava	19	0.38095238095238093
qwen	0	0.7636363636363637
qwen	1	0.7181818181818181
qwen	2	0.7363636363636363
qwen	3	0.7636363636363637
qwen	4	0.8636363636363636
qwen	5	0.7614678899082569
qwen	6	0.5925925925925926
qwen	7	0.6116504854368932
qwen	8	0.7731958762886598
qwen	9	0.5773195876288659
qwen	10	0.6190476190476191
qwen	11	0.569620253164557
qwen	12	0.5866666666666667
qwen	13	0.5352112676056338
qwen	14	0.37681159420289856
qwen	15	0.5172413793103449
qwen	16	0.5789473684210527
qwen	17	0.6176470588235294
qwen	18	0.4827586206896552
qwen	19	0.6190476190476191
