model	delta	ok
blip2	0	0.2909090909090909
blip2	1	0.3090909090909091
blip2	2	0.2818181818181818
blip2	3	0.4545454545454545
blip2	4	0.5
blip2	5	0.3669724770642202
blip2	6	0.1944444444444444
blip2	7	0.2427184466019417
blip2	8	0.4432989690721649
blip2	9	0.4536082474226804
blip2	10	0.2261904761904762
blip2	11	0.2531645569620253
blip2	12	0.32
blip2	13	0.380281690140845
blip2	14	0.1304347826086956
blip2	15	0.0862068965517241
blip2	16	0.3684210526315789
blip2	17	0.4705882352941176
blip2	18	0.0689655172413793
blip2	19	0.0952380952380952
llava	0	0.6545454545454545
llava	1	0.6
llava	2	0.6545454545454545
llava	3	0.7363636363636363
llava	4	0.7636363636363637
llava	5	0.7889908256880734
llava	6	0.4907407407407407
llava	7	0.5825242718446602
llava	8	0.7010309278350515
llava	9	0.5979381443298969
llava	10	0.5119047619047619
llava	11	0.5316455696202531
llava	12	0.4666666666666667
llava	13	0.5492957746478874
llava	14	0.3188405797101449
llava	15	0.3793103448275862
llava	16	0.5789473684210527
llava	17	0.7352941176470589
llava	18	0.3793103448275862
llava	19	0.3809523809523809
qwen	0	0.7636363636363637
qwen	1	0.7181818181818181
qwen	2	0.7363636363636363
qwen	3	0.7636363636363637
qwen	4	0.8636363636363636
qwen	5	0.7614678899082569
qwen	6	0.5925925925925926
qwen	7	0.6116504854368932
qwen	8	0.7731958762886598
qwen	9	0.5773195876288659
qwen	10	0.6190476190476191
qwen	11	0.569620253164557
qwen	12	0.5866666666666667
qwen	13	0.5352112676056338
qwen	14	0.3768115942028985
qwen	15	0.5172413793103449
qwen	16	0.5789473684210527
qwen	17	0.6176470588235294
qwen	18	0.4827586206896552
qwen	19	0.6190476190476191
