model	points	delta_min	delta_max	A	lambda_	t_half	variant
llava	20	0.0	19.0	0.4780981848029936	0.001396074139139	496.4974001935333	rand_order_s1
llava	20	0.0	19.0	0.4697551481324349	0.0003744478469016	1851.118083052929	rand_order_s0
blip2	19	0.0	18.0	0.2555472530439343	0.0668491274100733	10.368829144290324	shuffle_images_s2
llava	20	0.0	19.0	0.6014029169079154	0.0451828017753539	15.340951718891382	shuffle_images_s2
qwen	20	0.0	19.0	0.6822223407410709	0.0412757849698984	16.793070829917408	shuffle_images_s2
blip2	19	0.0	18.0	0.2555472530439343	0.0668491274100733	10.368829144290324	baseline_samples
llava	20	0.0	19.0	0.6014029169079154	0.0451828017753539	15.340951718891382	baseline_samples
qwen	20	0.0	19.0	0.6822223407410709	0.0412757849698984	16.793070829917408	baseline_samples
blip2	19	0.0	18.0	0.1815057732954068	0.0006645139681427	1043.0889549202166	rand_order_s2
llava	20	0.0	19.0	0.5113234788199865	0.0128369368526819	53.99630679145474	rand_order_s2
blip2	19	0.0	18.0	0.2555472530439343	0.0668491274100733	10.368829144290324	shuffle_images_s1
llava	20	0.0	19.0	0.6014029169079154	0.0451828017753539	15.340951718891382	shuffle_images_s1
qwen	20	0.0	19.0	0.6822223407410709	0.0412757849698984	16.793070829917408	shuffle_images_s1
blip2	19	0.0	18.0	0.2555472530439343	0.0668491274100733	10.368829144290324	shuffle_images_s0
llava	20	0.0	19.0	0.6014029169079154	0.0451828017753539	15.340951718891382	shuffle_images_s0
qwen	20	0.0	19.0	0.6822223407410709	0.0412757849698984	16.793070829917408	shuffle_images_s0
blip2	19	0.0	18.0	0.2525355797086798	0.0450768008176852	15.377026940385685	interleave
llava	20	0.0	19.0	0.5870800072825676	0.0316201440642058	21.921063330783237	interleave
qwen	20	0.0	19.0	0.6711346614636798	0.0298057786160784	23.25546295865037	interleave
