xvar	method	term	coef	se	pval	variant
B2	GEE-Binomial-Exchangeable	const	-0.3571054142569304	0.0830656380904003	1.715123725211994e-05	rand_order_s1
B2	GEE-Binomial-Exchangeable	delta	-0.0019587097300438	0.0108712663640362	0.8570166782049271	rand_order_s1
D	GEE-Binomial-Exchangeable	const	-0.3707916073967286	0.0825319114817056	7.0323864470842055e-06	rand_order_s1
D	GEE-Binomial-Exchangeable	k	0.0003695660633897	0.0157848818236978	0.981321106953722	rand_order_s1
B1	GEE-Binomial-Exchangeable	const	-0.3576015717773152	0.1081432914970819	0.0009438900383937	rand_order_s1
B1	GEE-Binomial-Exchangeable	tau	-0.0218246256428113	0.1823244662276277	0.9047191187147544	rand_order_s1
B2	GEE-Binomial-Exchangeable	const	-0.3716760729468575	0.0771023189761195	1.4315841436352503e-06	rand_order_s0
B2	GEE-Binomial-Exchangeable	delta	0.0003896897048175	0.0095424323606173	0.9674253915327082	rand_order_s0
D	GEE-Binomial-Exchangeable	const	-0.4034502961726832	0.0711413619235312	1.418775075283512e-08	rand_order_s0
D	GEE-Binomial-Exchangeable	k	0.008077071290712	0.0117230783990171	0.4908302313196299	rand_order_s0
B1	GEE-Binomial-Exchangeable	const	-0.3764300767002448	0.094707479144079	7.047971929342426e-05	rand_order_s0
B1	GEE-Binomial-Exchangeable	tau	0.0135042244132358	0.1578907394659187	0.9318409049238826	rand_order_s0
B2	GEE-Binomial-Exchangeable	const	0.014257729918564	0.0758359373534718	0.8508707209474157	shuffle_images_s2
B2	GEE-Binomial-Exchangeable	delta	-0.0694501515366139	0.0103380304781387	1.8432585372494995e-11	shuffle_images_s2
D	GEE-Binomial-Exchangeable	const	-0.0868912198107643	0.0739119933354721	0.2397532386158892	shuffle_images_s2
D	GEE-Binomial-Exchangeable	k	-0.0699808757323454	0.0145985829450298	1.637527202187709e-06	shuffle_images_s2
B1	GEE-Binomial-Exchangeable	const	0.2231492685227256	0.1180736187487412	0.0587691417627858	shuffle_images_s2
B1	GEE-Binomial-Exchangeable	tau	-1.008072447681169	0.179680480143152	2.0190440795173258e-08	shuffle_images_s2
B2	GEE-Binomial-Exchangeable	const	0.0142577299185642	0.0758359373534718	0.8508707209474142	baseline_samples
B2	GEE-Binomial-Exchangeable	delta	-0.0694501515366139	0.0103380304781387	1.8432585372494856e-11	baseline_samples
D	GEE-Binomial-Exchangeable	const	-0.0868912198107647	0.0739119933354721	0.2397532386158872	baseline_samples
D	GEE-Binomial-Exchangeable	k	-0.0699808757323454	0.0145985829450298	1.6375272021877453e-06	baseline_samples
B1	GEE-Binomial-Exchangeable	const	0.2231492685227263	0.1180736187487415	0.0587691417627856	baseline_samples
B1	GEE-Binomial-Exchangeable	tau	-1.0080724476811695	0.1796804801431522	2.0190440795174e-08	baseline_samples
B2	GEE-Binomial-Exchangeable	const	-0.2926897654178117	0.0703312248995796	3.160385454135118e-05	rand_order_s2
B2	GEE-Binomial-Exchangeable	delta	-0.0121459502164501	0.007194601212769	0.0913721911235807	rand_order_s2
D	GEE-Binomial-Exchangeable	const	-0.3092015504272123	0.0681618998552348	5.725480758446766e-06	rand_order_s2
D	GEE-Binomial-Exchangeable	k	-0.0142117463020361	0.009824958729028	0.1480386237919526	rand_order_s2
B1	GEE-Binomial-Exchangeable	const	-0.2724278526411229	0.088906397676369	0.0021824581865339	rand_order_s2
B1	GEE-Binomial-Exchangeable	tau	-0.1799234876903365	0.1361161029775365	0.1862219783508547	rand_order_s2
B2	GEE-Binomial-Exchangeable	const	-0.6469176870869684	0.077777198289241	8.978121420274582e-17	blocked
B2	GEE-Binomial-Exchangeable	delta	0.0543615288427533	0.009659424835506	1.8249869463098567e-08	blocked
D	GEE-Binomial-Exchangeable	const	-0.6139016262285311	0.0731034717191125	4.552767218186241e-17	blocked
D	GEE-Binomial-Exchangeable	k	0.0571487001368	0.010300685940775	2.8887656162652524e-08	blocked
B1	GEE-Binomial-Exchangeable	const	-0.7493718063464926	0.0978854471434801	1.9241210392463196e-14	blocked
B1	GEE-Binomial-Exchangeable	tau	0.7184578189726932	0.1448957514709429	7.105913292923064e-07	blocked
B2	GEE-Binomial-Exchangeable	const	0.014257729918564	0.0758359373534718	0.850870720947416	shuffle_images_s1
B2	GEE-Binomial-Exchangeable	delta	-0.0694501515366139	0.0103380304781387	1.8432585372494856e-11	shuffle_images_s1
D	GEE-Binomial-Exchangeable	const	-0.0868912198107643	0.073911993335472	0.2397532386158892	shuffle_images_s1
D	GEE-Binomial-Exchangeable	k	-0.0699808757323454	0.0145985829450298	1.6375272021877146e-06	shuffle_images_s1
B1	GEE-Binomial-Exchangeable	const	0.2231492685227259	0.1180736187487413	0.0587691417627857	shuffle_images_s1
B1	GEE-Binomial-Exchangeable	tau	-1.008072447681169	0.179680480143152	2.0190440795173327e-08	shuffle_images_s1
B2	GEE-Binomial-Exchangeable	const	0.0142577299185647	0.0758359373534718	0.8508707209474089	shuffle_images_s0
B2	GEE-Binomial-Exchangeable	delta	-0.0694501515366139	0.0103380304781387	1.8432585372494388e-11	shuffle_images_s0
D	GEE-Binomial-Exchangeable	const	-0.086891219810765	0.0739119933354721	0.2397532386158856	shuffle_images_s0
D	GEE-Binomial-Exchangeable	k	-0.0699808757323453	0.0145985829450298	1.6375272021877355e-06	shuffle_images_s0
B1	GEE-Binomial-Exchangeable	const	0.2231492685227257	0.1180736187487414	0.0587691417627862	shuffle_images_s0
B1	GEE-Binomial-Exchangeable	tau	-1.008072447681169	0.1796804801431521	2.0190440795173625e-08	shuffle_images_s0
B2	GEE-Binomial-Exchangeable	const	0.0773631857767029	0.1062541303958847	0.4665549463976973	interleave
B2	GEE-Binomial-Exchangeable	delta	-0.0635622961039796	0.0127898443458919	6.704017011576443e-07	interleave
D	GEE-Binomial-Exchangeable	const	-0.0780674389225441	0.0771813096884152	0.3117862045518581	interleave
D	GEE-Binomial-Exchangeable	k	-0.0722958853696461	0.0158272699956927	4.928578663794586e-06	interleave
B1	GEE-Binomial-Exchangeable	const	0.1979527617821434	0.1280105304189111	0.1220131273512893	interleave
B1	GEE-Binomial-Exchangeable	tau	-0.9644367244138412	0.2008556880474026	1.5737135331331605e-06	interleave
