model	n_edges	avg_len	med_len	recovery_rate	long_chains_rate	variant
blip2	710	5.2479	4.0	0.5324	0.6563	rand_order_s1
llava	843	2.8434	2.0	0.7592	0.4045	rand_order_s1
qwen	816	2.5306	2.0	0.7696	0.3505	rand_order_s1
blip2	719	5.2545	4.0	0.5188	0.6161	rand_order_s0
llava	901	2.6204	2.0	0.737	0.374	rand_order_s0
qwen	844	2.4656	2.0	0.7595	0.3412	rand_order_s0
blip2	678	4.7758	4.0	0.4779	0.5826	shuffle_images_s2
llava	782	2.509	2.0	0.7199	0.3555	shuffle_images_s2
qwen	729	2.3155	2.0	0.7229	0.3128	shuffle_images_s2
blip2	678	4.7758	4.0	0.4779	0.5826	baseline_samples
llava	782	2.509	2.0	0.7199	0.3555	baseline_samples
qwen	729	2.3155	2.0	0.7229	0.3128	baseline_samples
blip2	737	5.0841	4.0	0.5278	0.6242	rand_order_s2
llava	882	2.6599	2.0	0.7381	0.3866	rand_order_s2
qwen	874	2.3673	2.0	0.7677	0.3478	rand_order_s2
blip2	712	4.0758	3.0	0.5309	0.5379	blocked
llava	803	2.4022	2.0	0.7684	0.3313	blocked
qwen	734	2.361	1.0	0.7943	0.2997	blocked
blip2	678	4.7758	4.0	0.4779	0.5826	shuffle_images_s1
llava	782	2.509	2.0	0.7199	0.3555	shuffle_images_s1
qwen	729	2.3155	2.0	0.7229	0.3128	shuffle_images_s1
blip2	678	4.7758	4.0	0.4779	0.5826	shuffle_images_s0
llava	782	2.509	2.0	0.7199	0.3555	shuffle_images_s0
qwen	729	2.3155	2.0	0.7229	0.3128	shuffle_images_s0
blip2	682	5.3109	4.0	0.4839	0.6774	interleave
llava	779	2.8318	2.0	0.7163	0.4313	interleave
qwen	745	2.4188	2.0	0.7114	0.3396	interleave
