model	sample_id	image_id	turn	k	ok
blip2	0	1	10	0	0
blip2	0	1	12	1	0
blip2	0	2	8	0	0
blip2	0	2	11	1	0
blip2	0	3	1	0	1
blip2	0	3	2	1	0
blip2	0	3	3	2	0
blip2	0	3	9	3	0
blip2	0	3	10	4	0
blip2	0	4	4	0	1
blip2	0	4	5	1	0
blip2	0	4	6	2	0
blip2	0	4	9	3	0
blip2	0	4	10	4	0
blip2	0	4	12	5	0
blip2	0	5	7	0	0
blip2	0	5	8	1	0
blip2	0	5	11	2	0
blip2	1	1	4	0	0
blip2	1	1	6	1	0
blip2	1	1	8	2	1
blip2	1	1	9	3	1
blip2	1	2	4	0	0
blip2	1	2	5	1	1
blip2	1	2	6	2	0
blip2	1	2	7	3	0
blip2	1	2	10	4	0
blip2	1	2	11	5	0
blip2	1	3	1	0	0
blip2	1	3	2	1	1
blip2	1	3	4	2	0
blip2	1	3	5	3	1
blip2	1	3	6	4	0
blip2	1	3	8	5	1
blip2	1	3	9	6	1
blip2	1	3	11	7	0
blip2	1	4	3	0	0
blip2	1	4	4	1	0
blip2	1	4	6	2	0
blip2	1	4	7	3	0
blip2	1	4	9	4	1
blip2	1	4	10	5	0
blip2	1	4	11	6	0
blip2	2	1	1	0	0
blip2	2	1	2	1	0
blip2	2	1	3	2	1
blip2	2	1	10	3	0
blip2	2	1	11	4	0
blip2	2	1	12	5	0
blip2	2	1	13	6	0
blip2	2	1	14	7	1
blip2	2	1	15	8	0
blip2	2	1	16	9	1
blip2	2	1	17	10	0
blip2	2	2	4	0	1
blip2	2	2	5	1	0
blip2	2	2	6	2	0
blip2	2	2	10	3	0
blip2	2	2	11	4	0
blip2	2	2	12	5	0
blip2	2	2	13	6	0
blip2	2	2	14	7	1
blip2	2	2	15	8	0
blip2	2	2	16	9	1
blip2	2	2	17	10	0
blip2	2	3	7	0	0
blip2	2	3	8	1	1
blip2	2	3	9	2	1
blip2	2	3	10	3	0
blip2	2	3	11	4	0
blip2	2	3	12	5	0
blip2	2	3	13	6	0
blip2	2	3	14	7	1
blip2	2	3	15	8	0
blip2	2	3	16	9	1
blip2	2	3	17	10	0
blip2	3	1	1	0	1
blip2	3	1	2	1	0
blip2	3	1	3	2	1
blip2	3	1	13	3	0
blip2	3	1	14	4	0
blip2	3	1	16	5	0
blip2	3	1	17	6	0
blip2	3	2	4	0	1
blip2	3	2	5	1	0
blip2	3	2	6	2	1
blip2	3	2	14	3	0
blip2	3	2	16	4	0
blip2	3	2	17	5	0
blip2	3	2	18	6	1
blip2	3	3	7	0	0
blip2	3	3	8	1	1
blip2	3	3	9	2	0
blip2	3	3	13	3	0
blip2	3	3	14	4	0
blip2	3	3	15	5	0
blip2	3	3	16	6	0
blip2	3	3	19	7	0
blip2	3	3	20	8	0
blip2	3	4	10	0	0
blip2	3	4	11	1	0
blip2	3	4	12	2	0
blip2	3	4	13	3	0
blip2	3	4	15	4	0
blip2	3	4	17	5	0
blip2	3	4	18	6	1
blip2	3	4	19	7	0
blip2	3	4	20	8	0
blip2	4	1	1	0	0
blip2	4	1	2	1	1
blip2	4	1	3	2	0
blip2	4	1	7	3	0
blip2	4	1	8	4	0
blip2	4	1	9	5	0
blip2	4	1	10	6	0
blip2	4	1	11	7	0
blip2	4	2	4	0	1
blip2	4	2	5	1	0
blip2	4	2	6	2	0
blip2	4	2	8	3	0
blip2	4	2	9	4	0
blip2	4	2	10	5	0
blip2	4	2	11	6	0
blip2	5	1	1	0	1
blip2	5	1	2	1	0
blip2	5	1	3	2	0
blip2	5	1	7	3	0
blip2	5	1	8	4	0
