model	delta	ok_mean
blip2	0	0.28255528255528256
blip2	1	0.29245283018867924
blip2	2	0.25077399380804954
blip2	3	0.12269938650306748
blip2	4	0.12658227848101267
blip2	5	0.08383233532934131
blip2	6	0.07476635514018691
blip2	7	0.15384615384615385
blip2	8	0.18285714285714286
blip2	9	0.17326732673267325
blip2	10	0.18238993710691823
blip2	11	0.13533834586466165
blip2	12	0.15267175572519084
blip2	13	0.1619047619047619
blip2	14	0.1348314606741573
blip2	15	0.08333333333333333
blip2	16	0.20588235294117646
blip2	17	0.10344827586206896
blip2	18	0.05
blip2	19	0.0
llava	0	0.5945945945945946
llava	1	0.6194968553459119
llava	2	0.6408668730650154
llava	3	0.3558282208588957
llava	4	0.43670886075949367
llava	5	0.40718562874251496
llava	6	0.40186915887850466
llava	7	0.4153846153846154
llava	8	0.42857142857142855
llava	9	0.36633663366336633
llava	10	0.39622641509433965
llava	11	0.3684210526315789
llava	12	0.366412213740458
llava	13	0.3904761904761905
llava	14	0.38202247191011235
llava	15	0.4027777777777778
llava	16	0.4411764705882353
llava	17	0.5172413793103449
llava	18	0.4
llava	19	0.5333333333333333
qwen	0	0.687960687960688
qwen	1	0.7044025157232704
qwen	2	0.7058823529411765
qwen	3	0.4233128834355828
qwen	4	0.4873417721518987
qwen	5	0.47305389221556887
qwen	6	0.40654205607476634
qwen	7	0.5384615384615384
qwen	8	0.5428571428571428
qwen	9	0.42574257425742573
qwen	10	0.5094339622641509
qwen	11	0.39849624060150374
qwen	12	0.48091603053435117
qwen	13	0.45714285714285713
qwen	14	0.4044943820224719
qwen	15	0.5416666666666666
qwen	16	0.47058823529411764
qwen	17	0.3793103448275862
qwen	18	0.35
qwen	19	0.3333333333333333
