model	sample_id	img	src_turn	dst_turn	length	recovered
blip2	0	1	5	9	4	0
blip2	0	2	11	12	1	0
blip2	0	3	2	5	3	0
blip2	0	4	4	6	2	1
blip2	0	4	7	9	2	0
blip2	0	5	10	12	2	0
blip2	1	1	3	6	3	1
blip2	1	2	3	4	1	1
blip2	1	2	5	11	6	0
blip2	1	3	1	2	1	1
blip2	1	3	3	4	1	1
blip2	1	3	5	6	1	1
blip2	1	3	8	8	0	0
blip2	1	4	3	7	4	1
blip2	1	4	8	11	3	0
blip2	2	1	1	3	2	1
blip2	2	1	4	8	4	1
blip2	2	1	9	10	1	1
blip2	2	1	11	11	0	0
blip2	2	2	4	8	4	1
blip2	2	2	9	10	1	1
blip2	2	2	11	12	1	1
blip2	2	2	13	14	1	0
blip2	2	3	4	8	4	1
blip2	2	3	9	10	1	1
blip2	2	3	11	16	5	1
blip2	3	1	2	3	1	1
blip2	3	1	4	7	3	0
blip2	3	2	5	8	3	1
blip2	3	2	9	10	1	1
blip2	3	3	4	13	9	1
blip2	3	3	14	17	3	0
blip2	3	4	4	11	7	1
blip2	3	4	15	20	5	0
blip2	4	1	1	2	1	1
blip2	4	1	3	8	5	0
blip2	4	2	5	9	4	1
blip2	4	2	10	11	1	0
blip2	5	1	2	13	11	0
blip2	5	2	4	14	10	1
blip2	6	1	2	12	10	0
blip2	6	2	4	13	9	1
blip2	6	2	14	15	1	0
blip2	7	1	1	3	2	1
blip2	7	1	4	13	9	0
blip2	7	2	4	14	10	1
blip2	7	2	15	16	1	0
blip2	8	1	1	3	2	1
blip2	8	1	4	8	4	0
blip2	8	2	5	9	4	1
blip2	8	2	12	13	1	0
blip2	8	3	8	14	6	1
blip2	8	3	15	16	1	1
blip2	8	3	17	17	0	0
blip2	8	4	4	19	15	1
blip2	8	4	20	20	0	0
blip2	9	1	4	5	1	1
blip2	9	2	4	5	1	1
blip2	10	1	4	8	4	1
blip2	10	1	9	10	1	1
blip2	10	1	12	13	1	0
blip2	10	2	4	8	4	1
blip2	10	2	9	10	1	1
blip2	10	2	12	14	2	1
blip2	10	2	16	16	0	0
blip2	11	1	2	5	3	1
blip2	11	1	6	10	4	1
blip2	11	1	13	13	0	0
blip2	11	2	4	5	1	1
blip2	11	2	6	10	4	1
blip2	11	2	13	16	3	0
blip2	12	1	4	10	6	1
blip2	12	1	11	12	1	0
blip2	12	2	4	13	9	1
blip2	12	2	14	15	1	0
blip2	13	1	2	7	5	0
blip2	13	2	7	8	1	1
blip2	13	2	11	11	0	0
blip2	13	3	7	12	5	1
blip2	13	3	15	15	0	0
blip2	13	4	4	16	12	1
blip2	14	1	1	2	1	1
blip2	14	1	3	7	4	1
blip2	14	1	8	13	5	1
blip2	14	2	4	7	3	1
blip2	14	2	8	13	5	1
blip2	15	1	1	7	6	1
blip2	15	1	8	8	0	0
blip2	15	2	4	7	3	1
blip2	15	2	12	13	1	0
blip2	15	3	4	17	13	0
blip2	15	4	4	20	16	0
blip2	16	1	1	2	1	1
blip2	16	1	4	5	1	1
blip2	16	1	6	7	1	1
blip2	16	1	9	10	1	1
blip2	16	1	11	13	2	0
blip2	16	2	4	5	1	1
blip2	16	2	6	7	1	1
blip2	16	2	9	10	1	1
blip2	16	2	11	15	4	1
blip2	16	2	16	16	0	0
blip2	17	1	2	3	1	1
blip2	17	1	4	8	4	1
blip2	17	1	9	13	4	1
blip2	17	2	4	8	4	1
blip2	17	2	9	13	4	1
blip2	18	1	1	10	9	0
blip2	18	2	4	13	9	0
blip2	18	3	4	15	11	1
blip2	19	1	1	3	2	1
blip2	19	1	4	8	4	1
blip2	19	1	9	10	1	0
blip2	19	2	1	3	2	1
blip2	19	2	4	8	4	1
blip2	19	2	9	10	1	0
blip2	20	1	1	9	8	1
blip2	20	1	10	11	1	1
blip2	20	1	12	13	1	1
blip2	20	2	4	9	5	1
blip2	20	2	10	11	1	1
blip2	20	2	15	16	1	0
blip2	20	3	4	9	5	1
blip2	20	3	10	11	1	1
blip2	20	3	12	13	1	1
blip2	20	3	18	19	1	1
blip2	21	1	1	3	2	1
blip2	21	1	4	9	5	1
blip2	21	1	10	13	3	1
blip2	21	2	4	9	5	1
blip2	21	2	10	13	3	1
blip2	21	2	15	16	1	0
blip2	22	1	1	7	6	1
