model	k	ok_mean
blip2	0	0.11793611793611794
blip2	1	0.19220779220779222
blip2	2	0.18933333333333333
blip2	3	0.15954415954415954
blip2	4	0.18471337579617833
blip2	5	0.18115942028985507
blip2	6	0.14782608695652175
blip2	7	0.21195652173913043
blip2	8	0.14465408805031446
blip2	9	0.2826086956521739
blip2	10	0.33980582524271846
blip2	11	0.18681318681318682
blip2	12	0.22388059701492538
blip2	13	0.4166666666666667
blip2	14	0.4
blip2	15	0.2
blip2	16	0.0
blip2	17	0.0
llava	0	0.4103194103194103
llava	1	0.4675324675324675
llava	2	0.47733333333333333
llava	3	0.4415954415954416
llava	4	0.5159235668789809
llava	5	0.4528985507246377
llava	6	0.4826086956521739
llava	7	0.43478260869565216
llava	8	0.46540880503144655
llava	9	0.47101449275362317
llava	10	0.5533980582524272
llava	11	0.5934065934065934
llava	12	0.6119402985074627
llava	13	0.5833333333333334
llava	14	0.6
llava	15	0.8
llava	16	0.0
llava	17	0.0
qwen	0	0.4619164619164619
qwen	1	0.4909090909090909
qwen	2	0.5626666666666666
qwen	3	0.5185185185185185
qwen	4	0.5636942675159236
qwen	5	0.5362318840579711
qwen	6	0.5434782608695652
qwen	7	0.592391304347826
qwen	8	0.5660377358490566
qwen	9	0.5434782608695652
qwen	10	0.6407766990291263
qwen	11	0.6703296703296703
qwen	12	0.7164179104477612
qwen	13	0.6666666666666666
qwen	14	0.8
qwen	15	0.8
qwen	16	0.0
qwen	17	0.0
