model	delta	ok_mean
blip2	0	0.11793611793611794
blip2	1	0.20735785953177258
blip2	2	0.17985611510791366
blip2	3	0.12734082397003746
blip2	4	0.17123287671232876
blip2	5	0.15079365079365079
blip2	6	0.15450643776824036
blip2	7	0.22330097087378642
blip2	8	0.18686868686868688
blip2	9	0.25842696629213485
blip2	10	0.2781954887218045
blip2	11	0.16521739130434782
blip2	12	0.2222222222222222
blip2	13	0.32
blip2	14	0.32608695652173914
blip2	15	0.28125
blip2	16	0.2
blip2	17	0.0
blip2	18	0.0
blip2	19	0.0
llava	0	0.4103194103194103
llava	1	0.5016722408026756
llava	2	0.4784172661870504
llava	3	0.40074906367041196
llava	4	0.5102739726027398
llava	5	0.4126984126984127
llava	6	0.5021459227467812
llava	7	0.3883495145631068
llava	8	0.46464646464646464
llava	9	0.4887640449438202
llava	10	0.5037593984962406
llava	11	0.5043478260869565
llava	12	0.5959595959595959
llava	13	0.66
llava	14	0.6521739130434783
llava	15	0.71875
llava	16	0.55
llava	17	0.0
llava	18	0.0
llava	19	0.0
qwen	0	0.4619164619164619
qwen	1	0.5083612040133779
qwen	2	0.5467625899280576
qwen	3	0.47191011235955055
qwen	4	0.5205479452054794
qwen	5	0.46825396825396826
qwen	6	0.5450643776824035
qwen	7	0.587378640776699
qwen	8	0.5505050505050505
qwen	9	0.550561797752809
qwen	10	0.6466165413533834
qwen	11	0.6173913043478261
qwen	12	0.7272727272727273
qwen	13	0.7
qwen	14	0.8260869565217391
qwen	15	0.8125
qwen	16	0.85
qwen	17	0.0
qwen	18	1.0
qwen	19	0.0
