model	sample_id	img	src_turn	dst_turn	length	recovered
blip2	0	1	1	6	5	0
blip2	0	2	2	7	5	0
blip2	0	3	1	3	2	1
blip2	0	3	8	12	4	0
blip2	0	4	1	4	3	1
blip2	0	4	6	12	6	0
blip2	0	5	2	7	5	0
blip2	1	1	1	8	7	1
blip2	1	2	1	2	1	1
blip2	1	2	5	11	6	0
blip2	1	3	1	2	1	1
blip2	1	3	3	7	4	1
blip2	1	3	11	11	0	0
blip2	1	4	1	10	9	1
blip2	1	4	11	11	0	0
blip2	2	1	1	7	6	1
blip2	2	1	10	14	4	1
blip2	2	1	15	16	1	1
blip2	2	1	17	17	0	0
blip2	2	2	5	14	9	1
blip2	2	2	15	16	1	1
blip2	2	2	17	17	0	0
blip2	2	3	3	6	3	1
blip2	2	3	10	14	4	1
blip2	2	3	15	16	1	1
blip2	2	3	17	17	0	0
blip2	3	1	5	9	4	1
blip2	3	1	13	20	7	0
blip2	3	2	6	10	4	1
blip2	3	2	16	20	4	0
blip2	3	3	3	7	4	1
blip2	3	3	11	19	8	0
blip2	3	4	4	14	10	1
blip2	3	4	15	20	5	0
blip2	4	1	1	3	2	1
blip2	4	1	5	11	6	0
blip2	4	2	4	11	7	0
blip2	5	1	3	16	13	0
blip2	5	2	7	16	9	0
blip2	6	1	3	15	12	0
blip2	6	2	4	15	11	0
blip2	7	1	1	5	4	1
blip2	7	1	7	16	9	0
blip2	7	2	4	16	12	0
blip2	8	1	1	9	8	1
blip2	8	1	13	20	7	0
blip2	8	2	14	19	5	0
blip2	8	3	7	11	4	1
blip2	8	3	14	20	6	0
blip2	8	4	4	8	4	1
blip2	8	4	12	20	8	0
blip2	9	1	7	8	1	1
blip2	9	2	7	8	1	1
blip2	10	1	7	11	4	1
blip2	10	1	12	13	1	1
blip2	10	1	15	16	1	0
blip2	10	2	6	11	5	1
blip2	10	2	12	13	1	1
blip2	10	2	15	16	1	0
blip2	11	1	3	8	5	1
blip2	11	1	9	13	4	1
blip2	11	1	16	16	0	0
blip2	11	2	2	8	6	1
blip2	11	2	9	13	4	1
blip2	11	2	16	16	0	0
blip2	12	1	7	13	6	1
blip2	12	1	14	15	1	0
blip2	12	2	4	15	11	0
blip2	13	1	5	18	13	0
blip2	13	2	14	18	4	0
blip2	13	3	14	18	4	0
blip2	13	4	13	17	4	0
blip2	14	1	1	2	1	1
blip2	14	1	3	7	4	1
blip2	14	1	8	13	5	1
blip2	14	2	4	7	3	1
blip2	14	2	8	13	5	1
blip2	15	1	1	19	18	1
blip2	15	1	20	20	0	0
blip2	15	2	13	19	6	1
blip2	15	3	3	20	17	0
blip2	15	4	4	18	14	0
blip2	16	1	1	3	2	1
blip2	16	1	7	8	1	1
blip2	16	1	9	10	1	1
blip2	16	1	12	13	1	1
blip2	16	1	14	16	2	0
blip2	16	2	2	4	2	1
blip2	16	2	6	8	2	1
blip2	16	2	9	10	1	1
blip2	16	2	12	13	1	1
blip2	16	2	14	16	2	0
blip2	17	1	3	5	2	1
