model	k	ok_mean
blip2	0	0.2702702702702703
blip2	1	0.2571428571428571
blip2	2	0.25866666666666666
blip2	3	0.09686609686609686
blip2	4	0.10509554140127389
blip2	5	0.11956521739130435
blip2	6	0.07391304347826087
blip2	7	0.1956521739130435
blip2	8	0.16352201257861634
blip2	9	0.2391304347826087
blip2	10	0.21359223300970873
blip2	11	0.08791208791208792
blip2	12	0.16417910447761194
blip2	13	0.3333333333333333
blip2	14	0.6
blip2	15	0.0
blip2	16	0.0
blip2	17	0.0
llava	0	0.5847665847665847
llava	1	0.5922077922077922
llava	2	0.6053333333333333
llava	3	0.3190883190883191
llava	4	0.40445859872611467
llava	5	0.36594202898550726
llava	6	0.4217391304347826
llava	7	0.483695652173913
llava	8	0.44654088050314467
llava	9	0.37681159420289856
llava	10	0.33980582524271846
llava	11	0.42857142857142855
llava	12	0.47761194029850745
llava	13	0.6666666666666666
llava	14	0.7
llava	15	0.8
llava	16	0.0
llava	17	0.0
qwen	0	0.6658476658476659
qwen	1	0.6779220779220779
qwen	2	0.6906666666666667
qwen	3	0.36752136752136755
qwen	4	0.4681528662420382
qwen	5	0.4746376811594203
qwen	6	0.47391304347826085
qwen	7	0.5706521739130435
qwen	8	0.48427672955974843
qwen	9	0.42028985507246375
qwen	10	0.49514563106796117
qwen	11	0.42857142857142855
qwen	12	0.5522388059701493
qwen	13	0.5
qwen	14	0.8
qwen	15	0.2
qwen	16	0.0
qwen	17	0.0
