model	delta	ok_mean
blip2	0	0.2702702702702703
blip2	1	0.09782608695652174
blip2	2	0.23353293413173654
blip2	3	0.2916666666666667
blip2	4	0.21333333333333335
blip2	5	0.14204545454545456
blip2	6	0.18226600985221675
blip2	7	0.1696969696969697
blip2	8	0.17592592592592593
blip2	9	0.16756756756756758
blip2	10	0.18867924528301888
blip2	11	0.13496932515337423
blip2	12	0.16666666666666666
blip2	13	0.13157894736842105
blip2	14	0.1342281879194631
blip2	15	0.125
blip2	16	0.17142857142857143
blip2	17	0.1206896551724138
blip2	18	0.11764705882352941
blip2	19	0.0
llava	0	0.5847665847665847
llava	1	0.391304347826087
llava	2	0.5269461077844312
llava	3	0.5583333333333333
llava	4	0.5866666666666667
llava	5	0.5113636363636364
llava	6	0.5320197044334976
llava	7	0.3515151515151515
llava	8	0.48148148148148145
llava	9	0.42162162162162165
llava	10	0.5094339622641509
llava	11	0.39263803680981596
llava	12	0.35714285714285715
llava	13	0.3092105263157895
llava	14	0.3691275167785235
llava	15	0.390625
llava	16	0.44285714285714284
llava	17	0.3793103448275862
llava	18	0.5588235294117647
llava	19	0.631578947368421
qwen	0	0.6658476658476659
qwen	1	0.5
qwen	2	0.6526946107784432
qwen	3	0.6333333333333333
qwen	4	0.7466666666666667
qwen	5	0.5340909090909091
qwen	6	0.5517241379310345
qwen	7	0.42424242424242425
qwen	8	0.5277777777777778
qwen	9	0.43783783783783786
qwen	10	0.6084905660377359
qwen	11	0.4294478527607362
qwen	12	0.44047619047619047
qwen	13	0.4473684210526316
qwen	14	0.47651006711409394
qwen	15	0.4453125
qwen	16	0.44285714285714284
qwen	17	0.3620689655172414
qwen	18	0.5588235294117647
qwen	19	0.42105263157894735
