model	sample_id	img	src_turn	dst_turn	length	recovered
blip2	0	1	2	11	9	0
blip2	0	2	5	8	3	0
blip2	0	3	1	10	9	1
blip2	0	4	2	7	5	1
blip2	0	4	9	11	2	0
blip2	0	5	5	12	7	0
blip2	1	1	2	4	2	1
blip2	1	2	2	9	7	1
blip2	1	3	2	4	2	1
blip2	1	3	5	9	4	1
blip2	1	4	2	11	9	1
blip2	2	1	1	6	5	1
blip2	2	1	8	9	1	1
blip2	2	1	13	17	4	0
blip2	2	2	3	7	4	1
blip2	2	2	8	9	1	1
blip2	2	2	12	16	4	1
blip2	2	2	17	17	0	0
blip2	2	3	2	7	5	1
blip2	2	3	8	9	1	1
blip2	2	3	13	17	4	0
blip2	3	1	1	5	4	1
blip2	3	1	10	16	6	1
blip2	3	1	17	19	2	0
blip2	3	2	2	3	1	1
blip2	3	2	10	19	9	0
blip2	3	3	1	9	8	1
blip2	3	3	10	20	10	0
blip2	3	4	1	6	5	1
blip2	3	4	7	20	13	0
blip2	4	1	4	10	6	0
blip2	4	2	1	11	10	1
blip2	5	1	1	6	5	1
blip2	5	1	7	16	9	0
blip2	5	2	2	8	6	1
blip2	5	2	9	10	1	1
blip2	5	2	11	12	1	1
blip2	5	2	13	16	3	0
blip2	6	1	1	11	10	1
blip2	6	1	12	14	2	0
blip2	6	2	1	13	12	1
blip2	6	2	15	15	0	0
blip2	7	1	1	6	5	1
blip2	7	1	7	16	9	0
blip2	7	2	3	10	7	1
blip2	7	2	11	16	5	0
blip2	8	1	2	20	18	1
blip2	8	2	2	8	6	1
blip2	8	2	13	18	5	1
blip2	8	3	1	4	3	1
blip2	8	3	5	7	2	1
blip2	8	3	15	17	2	0
blip2	8	4	2	19	17	1
blip2	9	1	7	8	1	1
blip2	9	2	7	7	0	0
blip2	10	1	1	3	2	1
blip2	10	1	6	7	1	1
blip2	10	1	9	14	5	1
blip2	10	2	1	3	2	1
blip2	10	2	5	8	3	1
blip2	10	2	9	13	4	1
blip2	11	1	1	2	1	1
blip2	11	1	5	10	5	1
blip2	11	1	11	12	1	1
blip2	11	1	13	15	2	1
blip2	11	2	4	10	6	1
blip2	11	2	11	15	4	1
blip2	11	2	16	16	0	0
blip2	12	1	1	2	1	1
blip2	12	1	5	10	5	1
blip2	12	1	12	15	3	0
blip2	12	2	1	4	3	1
blip2	12	2	5	15	10	0
blip2	13	1	1	12	11	1
blip2	13	1	15	15	0	0
blip2	13	2	15	16	1	1
blip2	13	2	17	17	0	0
blip2	13	3	4	6	2	1
blip2	13	3	15	17	2	0
blip2	13	4	4	9	5	1
blip2	13	4	11	14	3	1
blip2	13	4	17	18	1	1
blip2	14	1	2	3	1	1
blip2	14	1	4	10	6	1
blip2	14	1	11	13	2	0
blip2	14	2	2	3	1	1
blip2	14	2	4	10	6	1
blip2	14	2	11	12	1	0
blip2	15	1	1	4	3	1
blip2	15	1	7	20	13	0
blip2	15	2	2	4	2	1
blip2	15	2	13	14	1	1
blip2	15	2	15	15	0	0
blip2	15	3	3	20	17	0
blip2	15	4	2	20	18	0
blip2	16	1	1	2	1	1
blip2	16	1	4	5	1	1
blip2	16	1	6	10	4	1
blip2	16	1	11	12	1	1
blip2	16	1	14	16	2	1
blip2	16	2	1	3	2	1
blip2	16	2	4	5	1	1
blip2	16	2	6	10	4	1
blip2	16	2	14	16	2	1
blip2	17	1	1	3	2	1
blip2	17	1	4	9	5	1
blip2	17	1	10	11	1	1
blip2	17	1	13	14	1	1
blip2	17	1	16	18	2	0
blip2	17	2	1	3	2	1
blip2	17	2	4	5	1	1
blip2	17	2	6	7	1	1
blip2	17	2	10	14	4	1
blip2	17	2	16	17	1	0
blip2	18	1	2	16	14	0
blip2	18	2	3	14	11	0
blip2	18	3	3	15	12	1
blip2	19	1	1	2	1	1
blip2	19	1	4	10	6	0
blip2	19	2	1	2	1	1
blip2	19	2	4	10	6	0
blip2	20	1	1	3	2	1
blip2	20	1	4	11	7	1
blip2	20	1	12	13	1	1
blip2	20	1	15	18	3	0
blip2	20	2	1	2	1	1
blip2	20	2	4	11	7	1
blip2	20	2	12	13	1	1
blip2	20	2	16	18	2	0
