model	k	ok_mean
blip2	0	0.171990171990172
blip2	1	0.19480519480519481
blip2	2	0.19733333333333333
blip2	3	0.1908831908831909
blip2	4	0.1942675159235669
blip2	5	0.15942028985507245
blip2	6	0.13478260869565217
blip2	7	0.19021739130434784
blip2	8	0.1761006289308176
blip2	9	0.2318840579710145
blip2	10	0.17475728155339806
blip2	11	0.17582417582417584
blip2	12	0.22388059701492538
blip2	13	0.08333333333333333
blip2	14	0.2
blip2	15	0.0
blip2	16	0.0
blip2	17	0.0
llava	0	0.44226044226044225
llava	1	0.5532467532467532
llava	2	0.4533333333333333
llava	3	0.45584045584045585
llava	4	0.5063694267515924
llava	5	0.48188405797101447
llava	6	0.3869565217391304
llava	7	0.4782608695652174
llava	8	0.4025157232704403
llava	9	0.45652173913043476
llava	10	0.5533980582524272
llava	11	0.5384615384615384
llava	12	0.40298507462686567
llava	13	0.4166666666666667
llava	14	0.6
llava	15	0.8
llava	16	0.0
llava	17	0.0
qwen	0	0.44963144963144963
qwen	1	0.6
qwen	2	0.5093333333333333
qwen	3	0.5213675213675214
qwen	4	0.6146496815286624
qwen	5	0.5942028985507246
qwen	6	0.5347826086956522
qwen	7	0.5380434782608695
qwen	8	0.5031446540880503
qwen	9	0.5507246376811594
qwen	10	0.5728155339805825
qwen	11	0.6043956043956044
qwen	12	0.47761194029850745
qwen	13	0.75
qwen	14	0.7
qwen	15	0.8
qwen	16	0.0
qwen	17	0.0
