sample_id	turn	images	model	ok
0	1	[2, 5]	blip2	0
0	2	[1, 4]	blip2	0
0	3	[3]	blip2	1
0	4	[3, 4]	blip2	0
0	5	[4]	blip2	0
0	6	[5]	blip2	0
0	7	[4]	blip2	1
0	8	[2, 5]	blip2	0
0	9	[4]	blip2	0
0	10	[3]	blip2	0
0	11	[1, 3, 4]	blip2	0
0	12	[3]	blip2	0
0	1	[2, 5]	llava	1
0	2	[1, 4]	llava	1
0	3	[3]	llava	1
0	4	[3, 4]	llava	0
0	5	[4]	llava	1
0	6	[5]	llava	1
0	7	[4]	llava	1
0	8	[2, 5]	llava	1
0	9	[4]	llava	1
0	10	[3]	llava	0
0	11	[1, 3, 4]	llava	1
0	12	[3]	llava	1
0	1	[2, 5]	qwen	0
0	2	[1, 4]	qwen	1
0	3	[3]	qwen	1
0	4	[3, 4]	qwen	1
0	5	[4]	qwen	1
0	6	[5]	qwen	1
0	7	[4]	qwen	1
0	8	[2, 5]	qwen	1
0	9	[4]	qwen	1
0	10	[3]	qwen	1
0	11	[1, 3, 4]	qwen	1
0	12	[3]	qwen	1
1	1	[3]	blip2	1
1	2	[1, 2, 3, 4]	blip2	0
1	3	[2, 3, 4]	blip2	0
1	4	[4]	blip2	0
1	5	[1, 2, 3, 4]	blip2	0
1	6	[2, 4]	blip2	0
1	7	[2, 3]	blip2	1
1	8	[1, 3, 4]	blip2	1
1	9	[2, 4]	blip2	0
1	10	[3]	blip2	0
1	11	[1, 3]	blip2	1
1	1	[3]	llava	1
1	2	[1, 2, 3, 4]	llava	0
1	3	[2, 3, 4]	llava	1
1	4	[4]	llava	1
1	5	[1, 2, 3, 4]	llava	1
1	6	[2, 4]	llava	1
1	7	[2, 3]	llava	1
1	8	[1, 3, 4]	llava	1
1	9	[2, 4]	llava	0
1	10	[3]	llava	1
1	11	[1, 3]	llava	1
1	1	[3]	qwen	1
1	2	[1, 2, 3, 4]	qwen	0
1	3	[2, 3, 4]	qwen	1
1	4	[4]	qwen	1
1	5	[1, 2, 3, 4]	qwen	0
1	6	[2, 4]	qwen	1
1	7	[2, 3]	qwen	1
1	8	[1, 3, 4]	qwen	1
1	9	[2, 4]	qwen	0
1	10	[3]	qwen	1
1	11	[1, 3]	qwen	1
2	1	[2]	blip2	0
2	2	[1]	blip2	1
2	3	[1, 2, 3]	blip2	0
2	4	[1]	blip2	0
2	5	[1, 2, 3]	blip2	0
2	6	[2]	blip2	0
2	7	[3]	blip2	1
2	8	[1, 2, 3]	blip2	0
2	9	[3]	blip2	0
2	10	[1, 2, 3]	blip2	0
2	11	[3]	blip2	1
2	12	[1, 2, 3]	blip2	1
2	13	[1, 2, 3]	blip2	1
2	14	[1, 2, 3]	blip2	0
2	15	[1]	blip2	0
2	16	[1, 2, 3]	blip2	0
2	17	[2]	blip2	1
2	1	[2]	llava	1
2	2	[1]	llava	0
2	3	[1, 2, 3]	llava	0
2	4	[1]	llava	1
2	5	[1, 2, 3]	llava	0
2	6	[2]	llava	1
2	7	[3]	llava	0
2	8	[1, 2, 3]	llava	0
2	9	[3]	llava	0
2	10	[1, 2, 3]	llava	1
2	11	[3]	llava	0
2	12	[1, 2, 3]	llava	1
2	13	[1, 2, 3]	llava	1
2	14	[1, 2, 3]	llava	0
2	15	[1]	llava	1
2	16	[1, 2, 3]	llava	0
2	17	[2]	llava	1
2	1	[2]	qwen	1
2	2	[1]	qwen	1
2	3	[1, 2, 3]	qwen	1
2	4	[1]	qwen	1
2	5	[1, 2, 3]	qwen	1
2	6	[2]	qwen	1
2	7	[3]	qwen	1
2	8	[1, 2, 3]	qwen	1
2	9	[3]	qwen	1
2	10	[1, 2, 3]	qwen	1
2	11	[3]	qwen	1
2	12	[1, 2, 3]	qwen	1
2	13	[1, 2, 3]	qwen	1
2	14	[1, 2, 3]	qwen	1
2	15	[1]	qwen	1
2	16	[1, 2, 3]	qwen	0
2	17	[2]	qwen	1
3	1	[2]	blip2	1
3	2	[4]	blip2	0
3	3	[3, 4]	blip2	0
3	4	[3, 4]	blip2	0
3	5	[1, 2, 3]	blip2	0
3	6	[4]	blip2	0
3	7	[2]	blip2	1
3	8	[1]	blip2	1
3	9	[1]	blip2	0
3	10	[3]	blip2	0
3	11	[3]	blip2	0
3	12	[1]	blip2	1
3	13	[2]	blip2	0
3	14	[1, 2, 3]	blip2	0
3	15	[1, 3, 4]	blip2	0
3	16	[1, 2, 4]	blip2	0
3	17	[3, 4]	blip2	0
3	18	[4]	blip2	0
3	19	[3]	blip2	1
3	20	[2, 4]	blip2	1
3	1	[2]	llava	1
3	2	[4]	llava	0
3	3	[3, 4]	llava	0
3	4	[3, 4]	llava	1
3	5	[1, 2, 3]	llava	0
3	6	[4]	llava	1
3	7	[2]	llava	1
3	8	[1]	llava	1
3	9	[1]	llava	0
3	10	[3]	llava	0
3	11	[3]	llava	1
3	12	[1]	llava	1
3	13	[2]	llava	1
3	14	[1, 2, 3]	llava	1
3	15	[1, 3, 4]	llava	0
3	16	[1, 2, 4]	llava	1
3	17	[3, 4]	llava	0
3	18	[4]	llava	1
3	19	[3]	llava	1
3	20	[2, 4]	llava	1
3	1	[2]	qwen	1
3	2	[4]	qwen	1
3	3	[3, 4]	qwen	1
3	4	[3, 4]	qwen	1
3	5	[1, 2, 3]	qwen	0
3	6	[4]	qwen	1
3	7	[2]	qwen	1
3	8	[1]	qwen	1
3	9	[1]	qwen	0
3	10	[3]	qwen	1
3	11	[3]	qwen	1
3	12	[1]	qwen	1
3	13	[2]	qwen	1
3	14	[1, 2, 3]	qwen	0
3	15	[1, 3, 4]	qwen	0
3	16	[1, 2, 4]	qwen	1
3	17	[3, 4]	qwen	1
3	18	[4]	qwen	0
3	19	[3]	qwen	0
3	20	[2, 4]	qwen	1
4	1	[1]	blip2	0
4	2	[1]	blip2	1
4	3	[2]	blip2	0
4	4	[1, 2]	blip2	0
4	5	[2]	blip2	0
4	6	[1, 2]	blip2	0
4	7	[1]	blip2	0
4	8	[2]	blip2	1
4	9	[1, 2]	blip2	0
4	10	[1]	blip2	0
4	11	[1, 2]	blip2	0
4	1	[1]	llava	0
4	2	[1]	llava	0
4	3	[2]	llava	1
4	4	[1, 2]	llava	0
4	5	[2]	llava	1
4	6	[1, 2]	llava	0
4	7	[1]	llava	1
4	8	[2]	llava	1
4	9	[1, 2]	llava	0
4	10	[1]	llava	0
4	11	[1, 2]	llava	0
4	1	[1]	qwen	1
4	2	[1]	qwen	1
4	3	[2]	qwen	1
4	4	[1, 2]	qwen	0
4	5	[2]	qwen	1
4	6	[1, 2]	qwen	0
4	7	[1]	qwen	1
4	8	[2]	qwen	1
4	9	[1, 2]	qwen	0
4	10	[1]	qwen	1
4	11	[1, 2]	qwen	0
5	1	[1, 2]	blip2	0
5	2	[1, 2]	blip2	0
5	3	[1, 2]	blip2	0
5	4	[1, 2]	blip2	0
5	5	[2]	blip2	1
5	6	[1, 2]	blip2	0
5	7	[1]	blip2	1
5	8	[1, 2]	blip2	0
5	9	[2]	blip2	1
5	10	[1]	blip2	0
5	11	[1, 2]	blip2	0
5	12	[1, 2]	blip2	0
5	13	[1, 2]	blip2	0
5	14	[2]	blip2	1
5	15	[1, 2]	blip2	0
5	16	[1]	blip2	0
5	1	[1, 2]	llava	0
5	2	[1, 2]	llava	1
5	3	[1, 2]	llava	0
5	4	[1, 2]	llava	1
5	5	[2]	llava	1
5	6	[1, 2]	llava	0
5	7	[1]	llava	1
5	8	[1, 2]	llava	1
5	9	[2]	llava	1
5	10	[1]	llava	1
5	11	[1, 2]	llava	1
5	12	[1, 2]	llava	0
5	13	[1, 2]	llava	1
5	14	[2]	llava	1
5	15	[1, 2]	llava	0
5	16	[1]	llava	1
5	1	[1, 2]	qwen	0
5	2	[1, 2]	qwen	1
5	3	[1, 2]	qwen	0
5	4	[1, 2]	qwen	1
5	5	[2]	qwen	1
5	6	[1, 2]	qwen	0
5	7	[1]	qwen	1
5	8	[1, 2]	qwen	1
5	9	[2]	qwen	1
5	10	[1]	qwen	0
5	11	[1, 2]	qwen	1
5	12	[1, 2]	qwen	0
5	13	[1, 2]	qwen	1
5	14	[2]	qwen	1
5	15	[1, 2]	qwen	0
5	16	[1]	qwen	1
6	1	[2]	blip2	1
6	2	[1]	blip2	0
6	3	[1, 2]	blip2	0
6	4	[1, 2]	blip2	0
6	5	[1, 2]	blip2	0
6	6	[1]	blip2	0
6	7	[1, 2]	blip2	0
6	8	[1, 2]	blip2	0
6	9	[2]	blip2	0
6	10	[1, 2]	blip2	0
6	11	[1, 2]	blip2	0
6	12	[1]	blip2	1
6	13	[1, 2]	blip2	0
6	14	[1, 2]	blip2	0
6	15	[2]	blip2	0
6	1	[2]	llava	1
6	2	[1]	llava	0
6	3	[1, 2]	llava	0
6	4	[1, 2]	llava	0
6	5	[1, 2]	llava	0
6	6	[1]	llava	1
6	7	[1, 2]	llava	1
6	8	[1, 2]	llava	0
6	9	[2]	llava	0
6	10	[1, 2]	llava	0
