model	delta	ok_mean
blip2	0	0.16953316953316952
blip2	1	0.22869955156950672
blip2	2	0.16831683168316833
blip2	3	0.1958762886597938
blip2	4	0.19230769230769232
blip2	5	0.16355140186915887
blip2	6	0.18433179723502305
blip2	7	0.18032786885245902
blip2	8	0.1925133689839572
blip2	9	0.19886363636363635
blip2	10	0.15492957746478872
blip2	11	0.18120805369127516
blip2	12	0.19424460431654678
blip2	13	0.1484375
blip2	14	0.26804123711340205
blip2	15	0.11494252873563218
blip2	16	0.2459016393442623
blip2	17	0.10204081632653061
blip2	18	0.21212121212121213
blip2	19	0.0
llava	0	0.5233415233415234
llava	1	0.5336322869955157
llava	2	0.4801980198019802
llava	3	0.42783505154639173
llava	4	0.4807692307692308
llava	5	0.48130841121495327
llava	6	0.4608294930875576
llava	7	0.48633879781420764
llava	8	0.47593582887700536
llava	9	0.4147727272727273
llava	10	0.4859154929577465
llava	11	0.3959731543624161
llava	12	0.4460431654676259
llava	13	0.40625
llava	14	0.5360824742268041
llava	15	0.5402298850574713
llava	16	0.45901639344262296
llava	17	0.42857142857142855
llava	18	0.30303030303030304
llava	19	0.07692307692307693
qwen	0	0.5036855036855037
qwen	1	0.6143497757847534
qwen	2	0.5297029702970297
qwen	3	0.5618556701030928
qwen	4	0.5576923076923077
qwen	5	0.4953271028037383
qwen	6	0.5576036866359447
qwen	7	0.5355191256830601
qwen	8	0.6256684491978609
qwen	9	0.6136363636363636
qwen	10	0.4859154929577465
qwen	11	0.5234899328859061
qwen	12	0.5179856115107914
qwen	13	0.5625
qwen	14	0.5979381443298969
qwen	15	0.5632183908045977
qwen	16	0.5081967213114754
qwen	17	0.3877551020408163
qwen	18	0.42424242424242425
qwen	19	0.23076923076923078
