model	sample_id	img	src_turn	dst_turn	length	recovered
blip2	0	1	2	10	8	0
blip2	0	2	8	11	3	0
blip2	0	3	10	12	2	0
blip2	0	4	7	11	4	0
blip2	0	5	5	12	7	0
blip2	1	1	4	8	4	1
blip2	1	2	1	2	1	1
blip2	1	2	4	5	1	1
blip2	1	2	6	8	2	1
blip2	1	2	11	11	0	0
blip2	1	3	4	5	1	1
blip2	1	3	6	11	5	0
blip2	1	4	3	9	6	1
blip2	1	4	10	11	1	0
blip2	2	1	1	3	2	1
blip2	2	1	10	14	4	1
blip2	2	1	15	16	1	1
blip2	2	1	17	17	0	0
blip2	2	2	7	8	1	1
blip2	2	2	10	14	4	1
blip2	2	2	15	16	1	1
blip2	2	2	17	17	0	0
blip2	2	3	5	14	9	1
blip2	2	3	15	16	1	1
blip2	2	3	17	17	0	0
blip2	3	1	5	6	1	1
blip2	3	1	14	18	4	1
blip2	3	2	10	18	8	1
blip2	3	2	19	20	1	0
blip2	3	3	7	8	1	1
blip2	3	3	9	20	11	0
blip2	3	4	2	3	1	1
blip2	3	4	13	17	4	0
blip2	4	1	1	2	1	1
blip2	4	1	3	11	8	0
blip2	4	2	5	11	6	0
blip2	5	1	7	16	9	0
blip2	5	2	2	16	14	0
blip2	6	1	5	15	10	0
blip2	6	2	2	15	13	0
blip2	7	1	1	3	2	1
blip2	7	1	7	16	9	0
blip2	7	2	5	16	11	0
blip2	8	1	14	19	5	0
blip2	8	2	10	11	1	1
blip2	8	2	12	20	8	0
blip2	8	3	1	3	2	1
blip2	8	3	13	20	7	0
blip2	8	4	8	9	1	1
blip2	8	4	14	20	6	0
blip2	9	1	7	8	1	1
blip2	9	2	7	8	1	1
blip2	10	1	7	11	4	1
blip2	10	1	12	13	1	1
blip2	10	1	15	16	1	0
blip2	10	2	6	11	5	1
blip2	10	2	12	13	1	1
blip2	10	2	15	16	1	0
blip2	11	1	2	8	6	1
blip2	11	1	9	13	4	1
blip2	11	1	16	16	0	0
blip2	11	2	4	8	4	1
blip2	11	2	9	13	4	1
blip2	11	2	16	16	0	0
blip2	12	1	5	15	10	0
blip2	12	2	7	13	6	1
blip2	12	2	14	15	1	0
blip2	13	1	2	18	16	0
blip2	13	2	13	18	5	0
blip2	13	3	13	17	4	0
blip2	13	4	16	18	2	0
blip2	14	1	4	7	3	1
blip2	14	1	8	13	5	1
blip2	14	2	1	2	1	1
blip2	14	2	3	7	4	1
blip2	14	2	8	13	5	1
blip2	15	1	1	17	16	1
blip2	15	1	20	20	0	0
blip2	15	2	7	20	13	0
blip2	15	3	13	17	4	1
blip2	15	3	19	19	0	0
blip2	15	4	10	19	9	0
blip2	16	1	4	5	1	1
blip2	16	1	6	8	2	1
blip2	16	1	9	10	1	1
blip2	16	1	12	13	1	1
blip2	16	1	14	16	2	0
blip2	16	2	1	2	1	1
blip2	16	2	7	8	1	1
blip2	16	2	9	10	1	1
blip2	16	2	12	13	1	1
blip2	16	2	14	16	2	0
blip2	17	1	7	11	4	1
blip2	17	1	12	16	4	1
blip2	17	2	2	3	1	1
blip2	17	2	7	11	4	1
blip2	17	2	12	16	4	1
blip2	18	1	7	8	1	1
blip2	18	1	10	16	6	0
blip2	18	2	4	16	12	0
blip2	18	3	1	16	15	0
blip2	19	1	1	3	2	1
blip2	19	1	4	8	4	1
blip2	19	1	9	10	1	0
blip2	19	2	1	3	2	1
blip2	19	2	4	8	4	1
blip2	19	2	9	10	1	0
blip2	20	1	1	15	14	1
blip2	20	1	16	17	1	1
blip2	20	1	18	19	1	1
blip2	20	2	5	15	10	1
blip2	20	2	16	17	1	1
blip2	20	3	8	9	1	1
blip2	20	3	10	15	5	1
blip2	20	3	16	17	1	1
blip2	20	3	18	19	1	1
blip2	21	1	1	3	2	1
blip2	21	1	7	12	5	1
blip2	21	1	13	16	3	1
blip2	21	2	5	12	7	1
blip2	21	2	13	16	3	1
blip2	22	1	6	10	4	1
blip2	22	1	12	13	1	1
blip2	22	1	14	15	1	1
blip2	22	2	1	10	9	1
blip2	22	2	12	13	1	1
blip2	22	2	14	15	1	1
blip2	23	1	1	2	1	1
blip2	23	1	3	15	12	1
blip2	23	1	16	19	3	0
blip2	23	2	4	5	1	1
blip2	23	2	6	15	9	1
blip2	23	2	16	19	3	0
blip2	23	3	9	15	6	1
blip2	23	3	16	19	3	0
blip2	24	1	1	8	7	1
blip2	24	1	9	10	1	1
blip2	24	2	1	8	7	1
blip2	24	2	9	10	1	1
blip2	25	1	5	8	3	0
blip2	25	2	1	8	7	0
blip2	25	3	2	8	6	0
blip2	26	1	7	13	6	0
blip2	26	2	1	2	1	1
blip2	26	2	3	13	10	0
blip2	26	3	6	13	7	0
blip2	27	1	1	13	12	1
blip2	27	1	14	18	4	1
blip2	27	2	4	5	1	1
blip2	27	2	6	13	7	1
blip2	27	2	14	18	4	1
blip2	28	1	14	15	1	1
blip2	28	1	17	20	3	0
blip2	28	2	7	8	1	1
blip2	28	2	16	19	3	0
blip2	28	3	4	5	1	1
blip2	28	3	6	18	12	0
blip2	28	4	1	20	19	0
blip2	28	5	11	19	8	0
blip2	29	1	3	4	1	1
blip2	29	1	6	7	1	1
blip2	29	1	8	10	2	0
blip2	29	2	3	4	1	1
blip2	29	2	6	7	1	1
blip2	29	2	8	10	2	0
blip2	30	1	8	12	4	0
blip2	30	2	6	13	7	0
blip2	30	3	4	13	9	0
blip2	31	1	10	12	2	1
blip2	31	1	13	16	3	0
blip2	31	2	13	16	3	0
blip2	31	3	9	17	8	0
blip2	31	4	4	5	1	1
blip2	31	4	15	17	2	0
blip2	31	5	2	3	1	1
blip2	31	5	14	14	0	0
blip2	32	1	5	6	1	1
blip2	32	1	16	18	2	1
blip2	32	2	8	9	1	1
blip2	32	2	17	20	3	0
blip2	32	3	10	12	2	1
blip2	32	3	17	20	3	0
blip2	32	4	1	2	1	1
blip2	32	4	3	19	16	0
blip2	32	5	15	20	5	0
blip2	33	1	13	19	6	0
blip2	33	2	7	19	12	0
blip2	33	3	13	20	7	0
blip2	33	4	10	12	2	1
blip2	33	4	13	20	7	0
blip2	34	1	1	10	9	0
blip2	34	2	1	10	9	0
blip2	35	1	3	5	2	1
blip2	35	1	6	15	9	0
blip2	35	2	1	2	1	1
blip2	35	2	6	15	9	0
blip2	36	1	1	10	9	0
blip2	36	2	1	10	9	0
blip2	37	1	8	18	10	0
blip2	37	2	16	20	4	0
blip2	37	3	5	20	15	0
blip2	37	4	2	3	1	1
blip2	37	4	14	20	6	0
blip2	37	5	14	18	4	0
blip2	38	1	1	4	3	1
blip2	38	1	5	10	5	0
blip2	38	2	1	4	3	1
blip2	38	2	5	10	5	0
blip2	39	1	13	20	7	0
blip2	39	2	2	18	16	0
blip2	39	3	8	18	10	0
blip2	39	4	4	5	1	1
blip2	39	4	16	20	4	0
blip2	39	5	11	12	1	1
blip2	39	5	16	20	4	0
blip2	40	1	9	20	11	0
blip2	40	2	14	20	6	0
blip2	40	3	1	18	17	0
blip2	40	4	6	18	12	0
blip2	40	5	4	20	16	0
blip2	41	1	1	2	1	1
blip2	41	1	3	16	13	0
blip2	41	2	4	16	12	0
blip2	42	1	5	19	14	0
blip2	42	2	1	19	18	0
blip2	43	1	4	9	5	1
blip2	43	1	10	14	4	1
blip2	43	1	15	16	1	0
blip2	43	2	1	2	1	1
blip2	43	2	3	9	6	1
blip2	43	2	10	14	4	1
blip2	43	2	15	16	1	0
blip2	44	1	1	10	9	1
blip2	44	2	1	10	9	1
blip2	44	3	1	10	9	1
blip2	45	1	13	13	0	0
blip2	45	2	9	13	4	0
blip2	45	3	10	13	3	0
blip2	45	4	5	13	8	0
blip2	46	1	1	5	4	0
blip2	46	2	1	5	4	0
blip2	46	3	1	5	4	0
blip2	46	4	1	5	4	0
blip2	47	1	4	7	3	1
blip2	47	1	8	10	2	0
blip2	47	2	1	7	6	1
blip2	47	2	8	10	2	0
blip2	48	1	1	2	1	1
blip2	48	1	3	19	16	0
blip2	48	2	7	19	12	0
blip2	48	3	4	19	15	0
blip2	49	1	7	20	13	0
blip2	49	2	10	12	2	1
blip2	49	2	13	19	6	0
blip2	49	3	4	19	15	0
blip2	49	4	2	3	1	1
