model	k	ok_mean
blip2	0	0.28255528255528256
blip2	1	0.2519480519480519
blip2	2	0.24533333333333332
blip2	3	0.07977207977207977
blip2	4	0.1178343949044586
blip2	5	0.11231884057971014
blip2	6	0.10869565217391304
blip2	7	0.18478260869565216
blip2	8	0.16352201257861634
blip2	9	0.2463768115942029
blip2	10	0.21359223300970873
blip2	11	0.07692307692307693
blip2	12	0.16417910447761194
blip2	13	0.3333333333333333
blip2	14	0.6
blip2	15	0.0
blip2	16	0.0
blip2	17	0.0
llava	0	0.5945945945945946
llava	1	0.5844155844155844
llava	2	0.6106666666666667
llava	3	0.2934472934472934
llava	4	0.42356687898089174
llava	5	0.3695652173913043
llava	6	0.4434782608695652
llava	7	0.4782608695652174
llava	8	0.4025157232704403
llava	9	0.391304347826087
llava	10	0.34951456310679613
llava	11	0.42857142857142855
llava	12	0.4626865671641791
llava	13	0.6666666666666666
llava	14	0.7
llava	15	0.8
llava	16	0.0
llava	17	0.0
qwen	0	0.687960687960688
qwen	1	0.6441558441558441
qwen	2	0.6933333333333334
qwen	3	0.34472934472934474
qwen	4	0.4554140127388535
qwen	5	0.4891304347826087
qwen	6	0.5
qwen	7	0.5652173913043478
qwen	8	0.5031446540880503
qwen	9	0.43478260869565216
qwen	10	0.5048543689320388
qwen	11	0.42857142857142855
qwen	12	0.5522388059701493
qwen	13	0.5
qwen	14	0.8
qwen	15	0.2
qwen	16	0.0
qwen	17	0.0
