metric_group	variant	z_mean	z_abs_mean	z_max_abs	sig
propagation	rand_order_s2	208.69935	208.69934999999998	882.0	True
propagation	rand_order_s0	206.2788833333333	206.2788833333333	901.0	True
propagation	rand_order_s1	198.37270833333332	198.37270833333332	843.0	True
propagation	blocked	188.18854166666665	188.18854166666665	803.0	True
propagation	interleave	184.77999166666666	184.77999166666666	779.0	True
propagation	baseline_samples	183.34763333333333	183.3476333333334	782.0	True
propagation	shuffle_images_s0	183.34763333333333	183.3476333333334	782.0	True
propagation	shuffle_images_s1	183.34763333333333	183.3476333333334	782.0	True
propagation	shuffle_images_s2	183.34763333333333	183.3476333333334	782.0	True
mixed_effects	rand_order_s1	0.13625938456625472	0.3211397060335596	0.981321106953722	False
mixed_effects	rand_order_s0	0.10504858273803236	0.29697465704132997	0.9674253915327082	False
mixed_effects	shuffle_images_s1	0.012700588561880307	0.2184330376886958	1.008072447681169	False
mixed_effects	shuffle_images_s2	0.01270058856188027	0.2184330376886957	1.008072447681169	False
mixed_effects	baseline_samples	0.012700588561879974	0.21843303768869557	1.0080724476811695	False
mixed_effects	shuffle_images_s0	0.012700588561879438	0.21843303768869501	1.008072447681169	False
mixed_effects	interleave	-0.00022374552136849384	0.19616997861363336	0.9644367244138412	False
mixed_effects	rand_order_s2	-0.05439564765889566	0.12570441112359929	0.3092015504272123	False
mixed_effects	blocked	-0.09835185949840593	0.23667999377859272	0.7493718063464926	False
half_life	rand_order_s0	467.8970531622271	467.8970531622271	1851.118083052929	True
half_life	rand_order_s2	142.09894905182594	142.09894905182594	1043.0889549202166	True
half_life	rand_order_s1	129.24422361311886	129.24422361311886	496.4974001935333	True
half_life	interleave	10.097567183481017	10.097567183481017	23.25546295865037	True
half_life	baseline_samples	8.59961099316228	8.599610993162282	20.0	True
half_life	shuffle_images_s0	8.59961099316228	8.599610993162282	20.0	True
half_life	shuffle_images_s1	8.59961099316228	8.599610993162282	20.0	True
half_life	shuffle_images_s2	8.59961099316228	8.599610993162282	20.0	True
