model	sample_id	image_id	turn	delta	ok
BLIP2	0	-1	0		0
BLIP2	1	-1	0		0
BLIP2	2	-1	0		0
BLIP2	3	-1	0		0
BLIP2	4	-1	0		0
BLIP2	5	-1	0		0
BLIP2	6	-1	0		0
BLIP2	7	-1	0		0
BLIP2	8	-1	0		0
BLIP2	9	-1	0		1
BLIP2	10	-1	0		0
BLIP2	11	-1	0		0
BLIP2	12	-1	0		0
BLIP2	13	-1	0		0
BLIP2	14	-1	0		1
BLIP2	15	-1	0		0
BLIP2	16	-1	0		0
BLIP2	17	-1	0		1
BLIP2	18	-1	0		0
BLIP2	19	-1	0		1
BLIP2	20	-1	0		1
BLIP2	21	-1	0		1
BLIP2	22	-1	0		1
BLIP2	23	-1	0		0
BLIP2	24	-1	0		1
BLIP2	25	-1	0		0
BLIP2	26	-1	0		0
BLIP2	27	-1	0		1
BLIP2	28	-1	0		0
BLIP2	29	-1	0		0
BLIP2	30	-1	0		1
BLIP2	31	-1	0		0
BLIP2	32	-1	0		0
BLIP2	33	-1	0		0
BLIP2	34	-1	0		0
BLIP2	35	-1	0		0
BLIP2	36	-1	0		0
BLIP2	37	-1	0		0
BLIP2	38	-1	0		0
BLIP2	39	-1	0		0
BLIP2	40	-1	0		0
BLIP2	41	-1	0		0
BLIP2	42	-1	0		0
BLIP2	43	-1	0		0
BLIP2	44	-1	0		1
BLIP2	45	-1	0		0
BLIP2	46	-1	0		0
BLIP2	47	-1	0		0
BLIP2	48	-1	0		0
BLIP2	49	-1	0		0
BLIP2	50	-1	0		1
BLIP2	51	-1	0		0
BLIP2	52	-1	0		0
BLIP2	53	-1	0		1
BLIP2	54	-1	0		0
BLIP2	55	-1	0		0
BLIP2	56	-1	0		0
BLIP2	57	-1	0		1
BLIP2	58	-1	0		0
BLIP2	59	-1	0		0
BLIP2	60	-1	0		1
BLIP2	61	-1	0		0
BLIP2	62	-1	0		0
BLIP2	63	-1	0		0
BLIP2	64	-1	0		0
BLIP2	65	-1	0		0
BLIP2	66	-1	0		1
BLIP2	67	-1	0		0
BLIP2	68	-1	0		0
BLIP2	69	-1	0		0
BLIP2	70	-1	0		0
BLIP2	71	-1	0		0
BLIP2	72	-1	0		0
BLIP2	73	-1	0		0
BLIP2	74	-1	0		0
BLIP2	75	-1	0		0
BLIP2	76	-1	0		0
BLIP2	77	-1	0		0
BLIP2	78	-1	0		0
BLIP2	79	-1	0		0
BLIP2	80	-1	0		0
BLIP2	81	-1	0		0
BLIP2	82	-1	0		0
BLIP2	83	-1	0		0
BLIP2	84	-1	0		1
BLIP2	85	-1	0		0
BLIP2	86	-1	0		0
BLIP2	87	-1	0		0
BLIP2	88	-1	0		1
BLIP2	89	-1	0		0
BLIP2	90	-1	0		1
BLIP2	91	-1	0		0
BLIP2	92	-1	0		0
BLIP2	93	-1	0		0
BLIP2	94	-1	0		0
BLIP2	95	-1	0		0
BLIP2	96	-1	0		0
BLIP2	97	-1	0		0
BLIP2	98	-1	0		0
BLIP2	99	-1	0		0
BLIP2	100	-1	0		0
BLIP2	101	-1	0		0
BLIP2	102	-1	0		1
BLIP2	103	-1	0		0
