sample_id	turn	images	model	ok
0	0		BLIP2	1
0	0		LLAVA	1
0	0		QWEN	1
0	1		BLIP2	0
0	1		LLAVA	1
0	1		QWEN	1
0	2		BLIP2	0
0	2		LLAVA	1
0	2		QWEN	1
0	3		BLIP2	0
0	3		LLAVA	1
0	3		QWEN	0
0	4		BLIP2	0
0	4		LLAVA	1
0	4		QWEN	1
0	5		BLIP2	0
0	5		LLAVA	1
0	5		QWEN	1
0	6		BLIP2	0
0	6		LLAVA	1
0	6		QWEN	1
0	7		BLIP2	0
0	7		LLAVA	1
0	7		QWEN	1
1	0		BLIP2	0
1	0		LLAVA	1
1	0		QWEN	0
1	1		BLIP2	1
1	1		LLAVA	1
1	1		QWEN	1
1	2		BLIP2	1
1	2		LLAVA	0
1	2		QWEN	0
1	3		BLIP2	0
1	3		LLAVA	0
1	3		QWEN	0
1	4		BLIP2	1
1	4		LLAVA	1
1	4		QWEN	1
1	5		BLIP2	1
1	5		LLAVA	1
1	5		QWEN	1
1	6		BLIP2	0
1	6		LLAVA	1
1	6		QWEN	1
1	7		BLIP2	0
1	7		LLAVA	1
1	7		QWEN	1
2	0		BLIP2	0
2	0		LLAVA	0
2	0		QWEN	1
2	1		BLIP2	0
2	1		LLAVA	0
2	1		QWEN	0
2	2		BLIP2	0
2	2		LLAVA	0
2	2		QWEN	1
2	3		BLIP2	0
2	3		LLAVA	1
2	3		QWEN	1
2	4		BLIP2	1
2	4		LLAVA	1
2	4		QWEN	1
2	5		BLIP2	0
2	5		LLAVA	0
2	5		QWEN	1
2	6		BLIP2	1
2	6		LLAVA	1
2	6		QWEN	1
2	7		BLIP2	0
2	7		LLAVA	1
2	7		QWEN	1
3	0		BLIP2	0
3	0		LLAVA	0
3	0		QWEN	0
3	1		BLIP2	0
3	1		LLAVA	0
3	1		QWEN	0
3	2		BLIP2	0
3	2		LLAVA	0
3	2		QWEN	1
3	3		BLIP2	0
3	3		LLAVA	1
3	3		QWEN	0
3	4		BLIP2	1
3	4		LLAVA	1
3	4		QWEN	1
3	5		BLIP2	1
3	5		LLAVA	1
3	5		QWEN	1
3	6		BLIP2	0
3	6		LLAVA	0
3	6		QWEN	1
3	7		BLIP2	0
3	7		LLAVA	1
3	7		QWEN	1
4	0		BLIP2	1
4	0		LLAVA	1
4	0		QWEN	1
4	1		BLIP2	1
4	1		LLAVA	1
4	1		QWEN	1
4	2		BLIP2	0
4	2		LLAVA	1
4	2		QWEN	1
4	3		BLIP2	0
4	3		LLAVA	0
4	3		QWEN	1
4	4		BLIP2	0
4	4		LLAVA	0
4	4		QWEN	0
4	5		BLIP2	0
4	5		LLAVA	0
4	5		QWEN	0
4	6		BLIP2	0
4	6		LLAVA	0
4	6		QWEN	0
4	7		BLIP2	0
4	7		LLAVA	0
4	7		QWEN	0
5	0		BLIP2	1
5	0		LLAVA	1
5	0		QWEN	1
5	1		BLIP2	0
5	1		LLAVA	0
5	1		QWEN	0
5	2		BLIP2	0
5	2		LLAVA	1
5	2		QWEN	1
5	3		BLIP2	0
5	3		LLAVA	1
5	3		QWEN	1
5	4		BLIP2	0
5	4		LLAVA	1
5	4		QWEN	1
5	5		BLIP2	0
5	5		LLAVA	0
5	5		QWEN	1
5	6		BLIP2	0
5	6		LLAVA	0
5	6		QWEN	0
5	7		BLIP2	0
5	7		LLAVA	1
5	7		QWEN	1
6	0		BLIP2	0
6	0		LLAVA	0
6	0		QWEN	0
6	1		BLIP2	0
6	1		LLAVA	0
6	1		QWEN	1
6	2		BLIP2	0
6	2		LLAVA	0
6	2		QWEN	1
6	3		BLIP2	0
6	3		LLAVA	0
6	3		QWEN	0
6	4		BLIP2	0
6	4		LLAVA	0
6	4		QWEN	0
6	5		BLIP2	0
6	5		LLAVA	0
