model	sample_id	image_id	turn	k	ok
BLIP2	0	-1	0	8	1
BLIP2	0	-1	1	8	0
BLIP2	0	-1	2	8	0
BLIP2	0	-1	3	8	0
BLIP2	0	-1	4	8	0
BLIP2	0	-1	5	8	0
BLIP2	0	-1	6	8	0
BLIP2	0	-1	7	8	0
BLIP2	1	-1	0	8	0
BLIP2	1	-1	1	8	1
BLIP2	1	-1	2	8	1
BLIP2	1	-1	3	8	0
BLIP2	1	-1	4	8	1
BLIP2	1	-1	5	8	1
BLIP2	1	-1	6	8	0
BLIP2	1	-1	7	8	0
BLIP2	2	-1	0	8	0
BLIP2	2	-1	1	8	0
BLIP2	2	-1	2	8	0
BLIP2	2	-1	3	8	0
BLIP2	2	-1	4	8	1
BLIP2	2	-1	5	8	0
BLIP2	2	-1	6	8	1
BLIP2	2	-1	7	8	0
BLIP2	3	-1	0	8	0
BLIP2	3	-1	1	8	0
BLIP2	3	-1	2	8	0
BLIP2	3	-1	3	8	0
BLIP2	3	-1	4	8	1
BLIP2	3	-1	5	8	1
BLIP2	3	-1	6	8	0
BLIP2	3	-1	7	8	0
BLIP2	4	-1	0	8	1
BLIP2	4	-1	1	8	1
BLIP2	4	-1	2	8	0
BLIP2	4	-1	3	8	0
BLIP2	4	-1	4	8	0
BLIP2	4	-1	5	8	0
BLIP2	4	-1	6	8	0
BLIP2	4	-1	7	8	0
BLIP2	5	-1	0	8	1
BLIP2	5	-1	1	8	0
BLIP2	5	-1	2	8	0
BLIP2	5	-1	3	8	0
BLIP2	5	-1	4	8	0
BLIP2	5	-1	5	8	0
BLIP2	5	-1	6	8	0
BLIP2	5	-1	7	8	0
BLIP2	6	-1	0	8	0
BLIP2	6	-1	1	8	0
BLIP2	6	-1	2	8	0
BLIP2	6	-1	3	8	0
BLIP2	6	-1	4	8	0
BLIP2	6	-1	5	8	0
BLIP2	6	-1	6	8	0
BLIP2	6	-1	7	8	0
BLIP2	7	-1	0	8	1
BLIP2	7	-1	1	8	0
BLIP2	7	-1	2	8	0
BLIP2	7	-1	3	8	0
BLIP2	7	-1	4	8	0
BLIP2	7	-1	5	8	0
BLIP2	7	-1	6	8	0
BLIP2	7	-1	7	8	0
BLIP2	8	-1	0	8	0
BLIP2	8	-1	1	8	0
BLIP2	8	-1	2	8	0
BLIP2	8	-1	3	8	0
BLIP2	8	-1	4	8	0
BLIP2	8	-1	5	8	0
BLIP2	8	-1	6	8	0
BLIP2	8	-1	7	8	0
BLIP2	9	-1	0	8	1
BLIP2	9	-1	1	8	1
BLIP2	9	-1	2	8	1
BLIP2	9	-1	3	8	1
BLIP2	9	-1	4	8	1
BLIP2	9	-1	5	8	1
BLIP2	9	-1	6	8	0
BLIP2	9	-1	7	8	1
