model	sample_id	image_id	t_star	t_bad
blip2	0	1	10	12
blip2	0	2	8	11
blip2	0	3	2	3
blip2	0	3	2	9
blip2	0	3	2	10
blip2	0	4	5	6
blip2	0	4	5	9
blip2	0	4	5	10
blip2	0	4	5	12
blip2	0	5	7	8
blip2	0	5	7	11
blip2	1	1	4	6
blip2	1	2	4	6
blip2	1	2	4	7
blip2	1	2	4	10
blip2	1	2	4	11
blip2	1	3	1	4
blip2	1	3	1	6
blip2	1	3	1	11
blip2	1	4	3	4
blip2	1	4	3	6
blip2	1	4	3	7
blip2	1	4	3	10
blip2	1	4	3	11
blip2	2	1	1	2
blip2	2	1	1	10
blip2	2	1	1	11
blip2	2	1	1	12
blip2	2	1	1	13
blip2	2	1	1	15
blip2	2	1	1	17
blip2	2	2	5	6
blip2	2	2	5	10
blip2	2	2	5	11
blip2	2	2	5	12
blip2	2	2	5	13
blip2	2	2	5	15
blip2	2	2	5	17
blip2	2	3	7	10
blip2	2	3	7	11
blip2	2	3	7	12
blip2	2	3	7	13
blip2	2	3	7	15
blip2	2	3	7	17
blip2	3	1	2	13
blip2	3	1	2	14
blip2	3	1	2	16
blip2	3	1	2	17
blip2	3	2	5	14
blip2	3	2	5	16
blip2	3	2	5	17
blip2	3	3	7	9
blip2	3	3	7	13
blip2	3	3	7	14
blip2	3	3	7	15
blip2	3	3	7	16
blip2	3	3	7	19
blip2	3	3	7	20
blip2	3	4	10	11
blip2	3	4	10	12
blip2	3	4	10	13
blip2	3	4	10	15
blip2	3	4	10	17
blip2	3	4	10	19
blip2	3	4	10	20
blip2	4	1	1	3
blip2	4	1	1	7
blip2	4	1	1	8
blip2	4	1	1	9
blip2	4	1	1	10
blip2	4	1	1	11
blip2	4	2	5	6
blip2	4	2	5	8
blip2	4	2	5	9
blip2	4	2	5	10
blip2	4	2	5	11
blip2	5	1	2	3
blip2	5	1	2	7
blip2	5	1	2	8
blip2	5	1	2	9
blip2	5	1	2	10
blip2	5	1	2	11
blip2	5	1	2	12
blip2	5	1	2	13
blip2	5	1	2	14
blip2	5	1	2	15
blip2	5	1	2	16
blip2	5	2	7	8
blip2	5	2	7	9
blip2	5	2	7	10
blip2	5	2	7	11
blip2	5	2	7	12
blip2	5	2	7	13
blip2	5	2	7	14
blip2	5	2	7	15
blip2	5	2	7	16
blip2	6	1	2	3
blip2	6	1	2	7
blip2	6	1	2	8
blip2	6	1	2	9
blip2	6	1	2	10
blip2	6	1	2	11
blip2	6	1	2	12
blip2	6	1	2	13
blip2	6	1	2	14
blip2	6	1	2	15
blip2	6	2	5	6
blip2	6	2	5	7
blip2	6	2	5	8
blip2	6	2	5	9
blip2	6	2	5	10
blip2	6	2	5	11
blip2	6	2	5	12
blip2	6	2	5	13
blip2	6	2	5	14
blip2	6	2	5	15
blip2	7	1	1	2
blip2	7	1	1	7
blip2	7	1	1	8
blip2	7	1	1	9
blip2	7	1	1	10
blip2	7	1	1	11
blip2	7	1	1	12
blip2	7	1	1	13
blip2	7	1	1	14
blip2	7	1	1	15
blip2	7	1	1	16
blip2	7	2	5	6
blip2	7	2	5	7
blip2	7	2	5	8
blip2	7	2	5	9
blip2	7	2	5	10
blip2	7	2	5	11
blip2	7	2	5	12
blip2	7	2	5	13
blip2	7	2	5	14
blip2	7	2	5	15
blip2	7	2	5	16
blip2	8	1	1	2
blip2	8	1	1	13
blip2	8	1	1	15
blip2	8	1	1	17
blip2	8	1	1	18
blip2	8	1	1	20
blip2	8	2	14	15
blip2	8	2	14	17
blip2	8	2	14	18
blip2	8	2	14	19
blip2	8	3	8	14
blip2	8	3	8	16
blip2	8	3	8	19
blip2	8	3	8	20
blip2	8	4	10	12
blip2	8	4	10	13
blip2	8	4	10	15
blip2	8	4	10	16
blip2	8	4	10	17
blip2	8	4	10	20
blip2	10	1	7	8
blip2	10	1	7	9
blip2	10	1	7	10
blip2	10	1	7	12
blip2	10	1	7	15
blip2	10	1	7	16
blip2	10	2	6	7
blip2	10	2	6	8
blip2	10	2	6	9
blip2	10	2	6	10
blip2	10	2	6	12
blip2	10	2	6	15
blip2	10	2	6	16
blip2	11	1	2	3
blip2	11	1	2	7
blip2	11	1	2	9
blip2	11	1	2	10
blip2	11	1	2	11
blip2	11	1	2	12
blip2	11	1	2	16
blip2	11	2	4	5
blip2	11	2	4	6
blip2	11	2	4	7
blip2	11	2	4	9
blip2	11	2	4	10
blip2	11	2	4	11
blip2	11	2	4	12
blip2	11	2	4	16
blip2	12	1	7	8
blip2	12	1	7	9
blip2	12	1	7	10
blip2	12	1	7	11
blip2	12	1	7	12
blip2	12	1	7	14
blip2	12	1	7	15
blip2	12	2	5	6
blip2	12	2	5	7
blip2	12	2	5	9
blip2	12	2	5	10
blip2	12	2	5	11
blip2	12	2	5	12
blip2	12	2	5	14
blip2	12	2	5	15
blip2	13	1	2	3
blip2	13	1	2	14
blip2	13	1	2	15
blip2	13	1	2	17
blip2	13	1	2	18
blip2	13	2	16	18
blip2	13	3	13	16
blip2	13	3	13	18
blip2	13	4	13	14
blip2	13	4	13	15
blip2	13	4	13	16
blip2	13	4	13	17
blip2	14	1	1	3
blip2	14	1	1	4
blip2	14	1	1	5
blip2	14	1	1	6
blip2	14	1	1	8
blip2	14	1	1	9
blip2	14	1	1	10
blip2	14	1	1	11
blip2	14	1	1	12
blip2	14	2	4	5
blip2	14	2	4	6
blip2	14	2	4	8
blip2	14	2	4	9
blip2	14	2	4	10
blip2	14	2	4	11
blip2	14	2	4	12
blip2	15	1	1	2
blip2	15	1	1	3
blip2	15	1	1	13
blip2	15	1	1	15
blip2	15	1	1	16
blip2	15	1	1	20
blip2	15	2	13	14
blip2	15	2	13	19
blip2	15	3	7	8
blip2	15	3	7	9
blip2	15	3	7	13
blip2	15	3	7	15
blip2	15	3	7	18
blip2	15	3	7	20
blip2	15	4	10	11
blip2	15	4	10	12
blip2	15	4	10	13
blip2	15	4	10	14
blip2	15	4	10	15
blip2	15	4	10	16
blip2	15	4	10	18
blip2	15	4	10	19
blip2	16	1	1	7
blip2	16	1	1	9
blip2	16	1	1	12
blip2	16	1	1	14
blip2	16	1	1	15
blip2	16	1	1	16
blip2	16	2	4	6
blip2	16	2	4	7
blip2	16	2	4	9
blip2	16	2	4	12
blip2	16	2	4	14
