sample_id	image_id	t_star	tail_errors	first_gap	model
0	1	10	1	2	blip2
0	2	8	1	3	blip2
0	3	2	3	1	blip2
0	4	5	4	1	blip2
0	5	7	2	1	blip2
1	1	4	1	2	blip2
1	2	4	4	1	blip2
1	3	1	3	1	blip2
1	4	3	5	1	blip2
2	1	1	7	1	blip2
2	2	5	7	1	blip2
2	3	7	6	1	blip2
3	1	2	4	1	blip2
3	2	5	3	1	blip2
3	3	7	7	1	blip2
3	4	10	7	1	blip2
4	1	1	6	1	blip2
4	2	5	5	1	blip2
5	1	2	11	1	blip2
5	2	7	9	1	blip2
6	1	2	10	1	blip2
6	2	5	10	1	blip2
7	1	1	11	1	blip2
7	2	5	11	1	blip2
8	1	1	6	1	blip2
8	2	14	4	1	blip2
8	3	8	4	1	blip2
8	4	10	6	1	blip2
9	1	7	0	1	blip2
9	2	7	0	1	blip2
10	1	7	6	1	blip2
10	2	6	7	1	blip2
11	1	2	7	1	blip2
11	2	4	8	1	blip2
12	1	7	7	1	blip2
12	2	5	8	1	blip2
13	1	2	5	1	blip2
13	2	16	1	2	blip2
13	3	13	2	3	blip2
13	4	13	4	1	blip2
14	1	1	9	1	blip2
14	2	4	7	1	blip2
15	1	1	6	1	blip2
15	2	13	2	1	blip2
15	3	7	6	1	blip2
15	4	10	8	1	blip2
16	1	1	6	1	blip2
16	2	4	7	1	blip2
17	1	2	8	1	blip2
17	2	7	7	1	blip2
18	1	1	9	1	blip2
18	2	4	9	1	blip2
18	3	7	7	1	blip2
19	1	1	7	1	blip2
19	2	1	7	1	blip2
20	1	1	9	1	blip2
20	2	5	7	1	blip2
20	3	8	7	1	blip2
21	1	1	9	1	blip2
21	2	5	9	1	blip2
22	1	1	7	1	blip2
22	2	6	5	1	blip2
23	1	1	10	1	blip2
23	2	4	10	1	blip2
23	3	9	9	1	blip2
24	1	1	7	1	blip2
24	2	1	7	1	blip2
25	1	1	1	7	blip2
25	2	2	3	1	blip2
25	3	5	3	1	blip2
26	1	1	8	1	blip2
26	2	6	7	1	blip2
26	3	7	6	1	blip2
27	1	1	12	1	blip2
27	2	4	11	1	blip2
28	1	1	4	1	blip2
28	2	4	3	1	blip2
28	3	7	3	1	blip2
28	4	11	4	1	blip2
28	5	14	3	1	blip2
29	1	3	4	1	blip2
29	2	3	4	1	blip2
30	1	8	3	2	blip2
30	2	4	5	4	blip2
30	3	6	6	1	blip2
31	1	13	1	3	blip2
31	2	2	1	1	blip2
31	3	4	3	1	blip2
31	4	9	2	6	blip2
