model	delta	ok_mean
blip2	0	0.15
blip2	1	0.2
blip2	2	0.3
blip2	3	0.2
blip2	4	0.2
blip2	7	0.1
blip2	8	0.0
blip2	9	0.2
blip2	10	0.0
blip2	11	0.2
blip2	12	0.13333333333333333
blip2	14	0.2
blip2	15	0.0
blip2	16	0.0
blip2	17	0.0
blip2	19	0.0
llava	0	0.5
llava	1	0.55
llava	2	0.5
llava	3	0.4
llava	4	0.0
llava	7	0.2
llava	8	0.2
llava	9	0.3
llava	10	0.3
llava	11	0.4
llava	12	0.3333333333333333
llava	14	0.4
llava	15	0.4
llava	16	0.3
llava	17	0.2
llava	19	0.2
qwen	0	0.75
qwen	1	0.8
qwen	2	0.7
qwen	3	0.6
qwen	4	0.4
qwen	7	0.5
qwen	8	0.6
qwen	9	0.7
qwen	10	0.5
qwen	11	0.6
qwen	12	0.5333333333333333
qwen	14	0.6
qwen	15	0.2
qwen	16	0.5
qwen	17	0.6
qwen	19	0.4
